realtime_start,date,value,realtime_end
2018-11-07,1992-01-01,33478,2018-11-07
2018-11-07,1992-02-01,33817,2018-11-07
2018-11-07,1992-03-01,33336,2018-11-07
2018-11-07,1992-04-01,33776,2018-11-07
2018-11-07,1992-05-01,34357,2018-11-07
2018-11-07,1992-06-01,34781,2018-11-07
2018-11-07,1992-07-01,35199,2018-11-07
2018-11-07,1992-08-01,34585,2018-11-07
2018-11-07,1992-09-01,35890,2018-11-07
2018-11-07,1992-10-01,35972,2018-11-07
2018-11-07,1992-11-01,35928,2018-11-07
2018-11-07,1992-12-01,36272,2018-11-07
2018-11-07,1993-01-01,37621,2018-11-07
2018-11-07,1993-02-01,36723,2018-11-07
2018-11-07,1993-03-01,35955,2018-11-07
2018-11-07,1993-04-01,38521,2018-11-07
2018-11-07,1993-05-01,39006,2018-11-07
2018-11-07,1993-06-01,38892,2018-11-07
2018-11-07,1993-07-01,40290,2018-11-07
2018-11-07,1993-08-01,40504,2018-11-07
2018-11-07,1993-09-01,40203,2018-11-07
2018-11-07,1993-10-01,40857,2018-11-07
2018-11-07,1993-11-01,42077,2018-11-07
2018-11-07,1993-12-01,42796,2018-11-07
2018-11-07,1994-01-01,42660,2018-11-07
2018-11-07,1994-02-01,43685,2018-11-07
2018-11-07,1994-03-01,44475,2018-11-07
2018-11-07,1994-04-01,45072,2018-11-07
2018-11-07,1994-05-01,44098,2018-11-07
2018-11-07,1994-06-01,44541,2018-11-07
2018-11-07,1994-07-01,44477,2018-11-07
2018-11-07,1994-08-01,45232,2018-11-07
2018-11-07,1994-09-01,46314,2018-11-07
2018-11-07,1994-10-01,47041,2018-11-07
2018-11-07,1994-11-01,47203,2018-11-07
2018-11-07,1994-12-01,46941,2018-11-07
2018-11-07,1995-01-01,47224,2018-11-07
2018-11-07,1995-02-01,45902,2018-11-07
2018-11-07,1995-03-01,46681,2018-11-07
2018-11-07,1995-04-01,47056,2018-11-07
2018-11-07,1995-05-01,47718,2018-11-07
2018-11-07,1995-06-01,49652,2018-11-07
2018-11-07,1995-07-01,48832,2018-11-07
2018-11-07,1995-08-01,49748,2018-11-07
2018-11-07,1995-09-01,49188,2018-11-07
2018-11-07,1995-10-01,49271,2018-11-07
2018-11-07,1995-11-01,49863,2018-11-07
2018-11-07,1995-12-01,50163,2018-11-07
2018-11-07,1996-01-01,50349,2018-11-07
2018-11-07,1996-02-01,52288,2018-11-07
2018-11-07,1996-03-01,52348,2018-11-07
2018-11-07,1996-04-01,51531,2018-11-07
2018-11-07,1996-05-01,52200,2018-11-07
2018-11-07,1996-06-01,51798,2018-11-07
2018-11-07,1996-07-01,52004,2018-11-07
2018-11-07,1996-08-01,51472,2018-11-07
2018-11-07,1996-09-01,53184,2018-11-07
2018-11-07,1996-10-01,53450,2018-11-07
2018-11-07,1996-11-01,52710,2018-11-07
2018-11-07,1996-12-01,52835,2018-11-07
2018-11-07,1997-01-01,54010,2018-11-07
2018-11-07,1997-02-01,54601,2018-11-07
2018-11-07,1997-03-01,54233,2018-11-07
2018-11-07,1997-04-01,53861,2018-11-07
2018-11-07,1997-05-01,52191,2018-11-07
2018-11-07,1997-06-01,54066,2018-11-07
2018-11-07,1997-07-01,55255,2018-11-07
2018-11-07,1997-08-01,55488,2018-11-07
2018-11-07,1997-09-01,55334,2018-11-07
2018-11-07,1997-10-01,54856,2018-11-07
2018-11-07,1997-11-01,55314,2018-11-07
2018-11-07,1997-12-01,55763,2018-11-07
2018-11-07,1998-01-01,55494,2018-11-07
2018-11-07,1998-02-01,54841,2018-11-07
2018-11-07,1998-03-01,56135,2018-11-07
2018-11-07,1998-04-01,57464,2018-11-07
2018-11-07,1998-05-01,57882,2018-11-07
2018-11-07,1998-06-01,59264,2018-11-07
2018-11-07,1998-07-01,56320,2018-11-07
2018-11-07,1998-08-01,54997,2018-11-07
2018-11-07,1998-09-01,57196,2018-11-07
2018-11-07,1998-10-01,59294,2018-11-07
2018-11-07,1998-11-01,59817,2018-11-07
2018-11-07,1998-12-01,60473,2018-11-07
2018-11-07,1999-01-01,60535,2018-11-07
2018-11-07,1999-02-01,61260,2018-11-07
2018-11-07,1999-03-01,61641,2018-11-07
2018-11-07,1999-04-01,62150,2018-11-07
2018-11-07,1999-05-01,63211,2018-11-07
2018-11-07,1999-06-01,63452,2018-11-07
2018-11-07,1999-07-01,64509,2018-11-07
2018-11-07,1999-08-01,65713,2018-11-07
2018-11-07,1999-09-01,65150,2018-11-07
2018-11-07,1999-10-01,64519,2018-11-07
2018-11-07,1999-11-01,66269,2018-11-07
2018-11-07,1999-12-01,65909,2018-11-07
2018-11-07,2000-01-01,67679,2018-11-07
2018-11-07,2000-02-01,69085,2018-11-07
2018-11-07,2000-03-01,68433,2018-11-07
2018-11-07,2000-04-01,65812,2018-11-07
2018-11-07,2000-05-01,65781,2018-11-07
2018-11-07,2000-06-01,66638,2018-11-07
2018-11-07,2000-07-01,65205,2018-11-07
2018-11-07,2000-08-01,65311,2018-11-07
2018-11-07,2000-09-01,66850,2018-11-07
2018-11-07,2000-10-01,66208,2018-11-07
2018-11-07,2000-11-01,64645,2018-11-07
2018-11-07,2000-12-01,63524,2018-11-07
2018-11-07,2001-01-01,65926,2018-11-07
2018-11-07,2001-02-01,66188,2018-11-07
2018-11-07,2001-03-01,65671,2018-11-07
2018-11-07,2001-04-01,66933,2018-11-07
2018-11-07,2001-05-01,67039,2018-11-07
2018-11-07,2001-06-01,66710,2018-11-07
2018-11-07,2001-07-01,66067,2018-11-07
