realtime_start,date,value,realtime_end
2018-11-07,1992-01-01,3385,2018-11-07
2018-11-07,1992-02-01,3516,2018-11-07
2018-11-07,1992-03-01,3482,2018-11-07
2018-11-07,1992-04-01,3535,2018-11-07
2018-11-07,1992-05-01,3512,2018-11-07
2018-11-07,1992-06-01,3549,2018-11-07
2018-11-07,1992-07-01,3586,2018-11-07
2018-11-07,1992-08-01,3512,2018-11-07
2018-11-07,1992-09-01,3566,2018-11-07
2018-11-07,1992-10-01,3607,2018-11-07
2018-11-07,1992-11-01,3626,2018-11-07
2018-11-07,1992-12-01,3800,2018-11-07
2018-11-07,1993-01-01,3648,2018-11-07
2018-11-07,1993-02-01,3585,2018-11-07
2018-11-07,1993-03-01,3608,2018-11-07
2018-11-07,1993-04-01,3749,2018-11-07
2018-11-07,1993-05-01,3746,2018-11-07
2018-11-07,1993-06-01,3702,2018-11-07
2018-11-07,1993-07-01,3810,2018-11-07
2018-11-07,1993-08-01,3804,2018-11-07
2018-11-07,1993-09-01,3825,2018-11-07
2018-11-07,1993-10-01,3817,2018-11-07
2018-11-07,1993-11-01,3930,2018-11-07
2018-11-07,1993-12-01,4018,2018-11-07
2018-11-07,1994-01-01,3981,2018-11-07
2018-11-07,1994-02-01,4095,2018-11-07
2018-11-07,1994-03-01,4131,2018-11-07
2018-11-07,1994-04-01,4035,2018-11-07
2018-11-07,1994-05-01,4119,2018-11-07
2018-11-07,1994-06-01,4135,2018-11-07
2018-11-07,1994-07-01,4111,2018-11-07
2018-11-07,1994-08-01,4249,2018-11-07
2018-11-07,1994-09-01,4306,2018-11-07
2018-11-07,1994-10-01,4347,2018-11-07
2018-11-07,1994-11-01,4221,2018-11-07
2018-11-07,1994-12-01,4255,2018-11-07
2018-11-07,1995-01-01,4436,2018-11-07
2018-11-07,1995-02-01,4298,2018-11-07
2018-11-07,1995-03-01,4347,2018-11-07
2018-11-07,1995-04-01,4345,2018-11-07
2018-11-07,1995-05-01,4380,2018-11-07
2018-11-07,1995-06-01,4421,2018-11-07
2018-11-07,1995-07-01,4429,2018-11-07
2018-11-07,1995-08-01,4462,2018-11-07
2018-11-07,1995-09-01,4441,2018-11-07
2018-11-07,1995-10-01,4414,2018-11-07
2018-11-07,1995-11-01,4532,2018-11-07
2018-11-07,1995-12-01,4505,2018-11-07
2018-11-07,1996-01-01,4600,2018-11-07
2018-11-07,1996-02-01,4485,2018-11-07
2018-11-07,1996-03-01,4548,2018-11-07
2018-11-07,1996-04-01,4628,2018-11-07
2018-11-07,1996-05-01,4432,2018-11-07
2018-11-07,1996-06-01,4609,2018-11-07
2018-11-07,1996-07-01,4655,2018-11-07
2018-11-07,1996-08-01,4738,2018-11-07
2018-11-07,1996-09-01,4690,2018-11-07
2018-11-07,1996-10-01,4769,2018-11-07
2018-11-07,1996-11-01,4692,2018-11-07
2018-11-07,1996-12-01,4940,2018-11-07
2018-11-07,1997-01-01,4748,2018-11-07
2018-11-07,1997-02-01,4666,2018-11-07
2018-11-07,1997-03-01,4698,2018-11-07
2018-11-07,1997-04-01,4725,2018-11-07
2018-11-07,1997-05-01,4763,2018-11-07
2018-11-07,1997-06-01,4838,2018-11-07
2018-11-07,1997-07-01,4786,2018-11-07
2018-11-07,1997-08-01,4745,2018-11-07
2018-11-07,1997-09-01,4827,2018-11-07
2018-11-07,1997-10-01,4878,2018-11-07
2018-11-07,1997-11-01,5015,2018-11-07
2018-11-07,1997-12-01,4915,2018-11-07
2018-11-07,1998-01-01,4834,2018-11-07
2018-11-07,1998-02-01,5027,2018-11-07
2018-11-07,1998-03-01,5008,2018-11-07
2018-11-07,1998-04-01,5036,2018-11-07
2018-11-07,1998-05-01,4986,2018-11-07
2018-11-07,1998-06-01,5083,2018-11-07
2018-11-07,1998-07-01,5032,2018-11-07
2018-11-07,1998-08-01,5057,2018-11-07
2018-11-07,1998-09-01,5047,2018-11-07
2018-11-07,1998-10-01,5108,2018-11-07
2018-11-07,1998-11-01,5093,2018-11-07
2018-11-07,1998-12-01,5154,2018-11-07
2018-11-07,1999-01-01,5122,2018-11-07
2018-11-07,1999-02-01,5292,2018-11-07
2018-11-07,1999-03-01,5273,2018-11-07
2018-11-07,1999-04-01,5277,2018-11-07
2018-11-07,1999-05-01,5328,2018-11-07
2018-11-07,1999-06-01,5367,2018-11-07
2018-11-07,1999-07-01,5326,2018-11-07
2018-11-07,1999-08-01,5290,2018-11-07
2018-11-07,1999-09-01,5385,2018-11-07
2018-11-07,1999-10-01,5373,2018-11-07
2018-11-07,1999-11-01,5414,2018-11-07
2018-11-07,1999-12-01,5455,2018-11-07
2018-11-07,2000-01-01,5232,2018-11-07
2018-11-07,2000-02-01,5541,2018-11-07
2018-11-07,2000-03-01,5635,2018-11-07
2018-11-07,2000-04-01,5649,2018-11-07
2018-11-07,2000-05-01,5757,2018-11-07
2018-11-07,2000-06-01,5686,2018-11-07
2018-11-07,2000-07-01,5800,2018-11-07
2018-11-07,2000-08-01,5633,2018-11-07
2018-11-07,2000-09-01,5728,2018-11-07
2018-11-07,2000-10-01,5626,2018-11-07
2018-11-07,2000-11-01,5615,2018-11-07
2018-11-07,2000-12-01,5601,2018-11-07
2018-11-07,2001-01-01,5386,2018-11-07
2018-11-07,2001-02-01,5715,2018-11-07
2018-11-07,2001-03-01,5723,2018-11-07
2018-11-07,2001-04-01,5658,2018-11-07
2018-11-07,2001-05-01,5679,2018-11-07
2018-11-07,2001-06-01,5621,2018-11-07
2018-11-07,2001-07-01,5703,2018-11-07
2018-11-07,2001-08-01,5775,2018-11-07
2018-11-07,2001-09-01,5672,2018-11-07
2018-11-07,2001-10-01,5798,2018-11-07
2018-11-07,2001-11-01,6066,2018-11-07
2018-11-07,2001-12-01,5797,2018-11-07
2018-11-07,2002-01-01,5775,2018-11-07
2018-11-07,2002-02-01,5711,2018-11-07
2018-11-07,2002-03-01,5717,2018-11-07
2018-11-07,2002-04-01,5799,2018-11-07
2018-11-07,2002-05-01,5731,2018-11-07
2018-11-07,2002-06-01,5670,2018-11-07
2018-11-07,2002-07-01,5666,2018-11-07
2018-11-07,2002-08-01,5689,2018-11-07
2018-11-07,2002-09-01,5852,2018-11-07
2018-11-07,2002-10-01,5839,2018-11-07
2018-11-07,2002-11-01,5985,2018-11-07
2018-11-07,2002-12-01,5809,2018-11-07
2018-11-07,2003-01-01,5794,2018-11-07
2018-11-07,2003-02-01,5576,2018-11-07
2018-11-07,2003-03-01,5660,2018-11-07
2018-11-07,2003-04-01,5709,2018-11-07
2018-11-07,2003-05-01,5748,2018-11-07
2018-11-07,2003-06-01,5908,2018-11-07
2018-11-07,2003-07-01,5808,2018-11-07
2018-11-07,2003-08-01,6132,2018-11-07
2018-11-07,2003-09-01,5954,2018-11-07
2018-11-07,2003-10-01,5841,2018-11-07
2018-11-07,2003-11-01,6011,2018-11-07
2018-11-07,2003-12-01,6013,2018-11-07
2018-11-07,2004-01-01,6087,2018-11-07
2018-11-07,2004-02-01,6093,2018-11-07
2018-11-07,2004-03-01,6067,2018-11-07
2018-11-07,2004-04-01,5941,2018-11-07
2018-11-07,2004-05-01,5985,2018-11-07
2018-11-07,2004-06-01,6017,2018-11-07
2018-11-07,2004-07-01,6124,2018-11-07
2018-11-07,2004-08-01,6192,2018-11-07
2018-11-07,2004-09-01,6111,2018-11-07
2018-11-07,2004-10-01,6094,2018-11-07
2018-11-07,2004-11-01,6140,2018-11-07
2018-11-07,2004-12-01,6122,2018-11-07
2018-11-07,2005-01-01,6192,2018-11-07
2018-11-07,2005-02-01,6269,2018-11-07
2018-11-07,2005-03-01,6137,2018-11-07
2018-11-07,2005-04-01,6318,2018-11-07
2018-11-07,2005-05-01,6232,2018-11-07
2018-11-07,2005-06-01,6135,2018-11-07
2018-11-07,2005-07-01,6239,2018-11-07
2018-11-07,2005-08-01,6274,2018-11-07
2018-11-07,2005-09-01,6155,2018-11-07
2018-11-07,2005-10-01,6377,2018-11-07
2018-11-07,2005-11-01,6287,2018-11-07
2018-11-07,2005-12-01,6462,2018-11-07
2018-11-07,2006-01-01,6735,2018-11-07
2018-11-07,2006-02-01,6629,2018-11-07
2018-11-07,2006-03-01,6610,2018-11-07
2018-11-07,2006-04-01,6580,2018-11-07
2018-11-07,2006-05-01,6503,2018-11-07
2018-11-07,2006-06-01,6524,2018-11-07
2018-11-07,2006-07-01,6461,2018-11-07
2018-11-07,2006-08-01,6412,2018-11-07
2018-11-07,2006-09-01,6690,2018-11-07
2018-11-07,2006-10-01,6589,2018-11-07
2018-11-07,2006-11-01,6461,2018-11-07
2018-11-07,2006-12-01,6566,2018-11-07
2018-11-07,2007-01-01,6489,2018-11-07
2018-11-07,2007-02-01,6494,2018-11-07
2018-11-07,2007-03-01,6779,2018-11-07
2018-11-07,2007-04-01,6640,2018-11-07
2018-11-07,2007-05-01,6805,2018-11-07
2018-11-07,2007-06-01,6850,2018-11-07
2018-11-07,2007-07-01,6936,2018-11-07
2018-11-07,2007-08-01,6780,2018-11-07
2018-11-07,2007-09-01,6749,2018-11-07
2018-11-07,2007-10-01,6834,2018-11-07
2018-11-07,2007-11-01,6940,2018-11-07
2018-11-07,2007-12-01,6756,2018-11-07
2018-11-07,2008-01-01,6818,2018-11-07
2018-11-07,2008-02-01,6751,2018-11-07
2018-11-07,2008-03-01,6733,2018-11-07
2018-11-07,2008-04-01,6809,2018-11-07
2018-11-07,2008-05-01,6949,2018-11-07
2018-11-07,2008-06-01,6879,2018-11-07
2018-11-07,2008-07-01,6858,2018-11-07
2018-11-07,2008-08-01,6931,2018-11-07
2018-11-07,2008-09-01,6536,2018-11-07
2018-11-07,2008-10-01,6426,2018-11-07
2018-11-07,2008-11-01,6431,2018-11-07
2018-11-07,2008-12-01,6470,2018-11-07
2018-11-07,2009-01-01,6661,2018-11-07
2018-11-07,2009-02-01,6535,2018-11-07
2018-11-07,2009-03-01,6360,2018-11-07
2018-11-07,2009-04-01,6514,2018-11-07
2018-11-07,2009-05-01,6453,2018-11-07
2018-11-07,2009-06-01,6473,2018-11-07
2018-11-07,2009-07-01,6455,2018-11-07
2018-11-07,2009-08-01,6628,2018-11-07
2018-11-07,2009-09-01,6484,2018-11-07
2018-11-07,2009-10-01,6408,2018-11-07
2018-11-07,2009-11-01,6307,2018-11-07
2018-11-07,2009-12-01,6523,2018-11-07
2018-11-07,2010-01-01,6555,2018-11-07
2018-11-07,2010-02-01,6404,2018-11-07
2018-11-07,2010-03-01,6494,2018-11-07
2018-11-07,2010-04-01,6445,2018-11-07
2018-11-07,2010-05-01,6460,2018-11-07
2018-11-07,2010-06-01,6504,2018-11-07
2018-11-07,2010-07-01,6495,2018-11-07
2018-11-07,2010-08-01,6532,2018-11-07
2018-11-07,2010-09-01,6462,2018-11-07
2018-11-07,2010-10-01,6533,2018-11-07
2018-11-07,2010-11-01,6671,2018-11-07
2018-11-07,2010-12-01,6584,2018-11-07
2018-11-07,2011-01-01,6544,2018-11-07
2018-11-07,2011-02-01,6620,2018-11-07
2018-11-07,2011-03-01,6644,2018-11-07
2018-11-07,2011-04-01,6637,2018-11-07
2018-11-07,2011-05-01,6557,2018-11-07
2018-11-07,2011-06-01,6592,2018-11-07
2018-11-07,2011-07-01,6435,2018-11-07
2018-11-07,2011-08-01,6655,2018-11-07
2018-11-07,2011-09-01,6693,2018-11-07
2018-11-07,2011-10-01,6535,2018-11-07
2018-11-07,2011-11-01,6501,2018-11-07
2018-11-07,2011-12-01,6327,2018-11-07
2018-11-07,2012-01-01,6625,2018-11-07
2018-11-07,2012-02-01,6748,2018-11-07
2018-11-07,2012-03-01,6902,2018-11-07
2018-11-07,2012-04-01,6859,2018-11-07
2018-11-07,2012-05-01,6877,2018-11-07
2018-11-07,2012-06-01,6797,2018-11-07
2018-11-07,2012-07-01,6798,2018-11-07
2018-11-07,2012-08-01,6692,2018-11-07
2018-11-07,2012-09-01,6677,2018-11-07
2018-11-07,2012-10-01,6695,2018-11-07
2018-11-07,2012-11-01,6681,2018-11-07
2018-11-07,2012-12-01,6790,2018-11-07
2018-11-07,2013-01-01,7129,2018-11-07
2018-11-07,2013-02-01,7095,2018-11-07
2018-11-07,2013-03-01,6936,2018-11-07
2018-11-07,2013-04-01,6812,2018-11-07
2018-11-07,2013-05-01,6859,2018-11-07
2018-11-07,2013-06-01,6887,2018-11-07
2018-11-07,2013-07-01,6918,2018-11-07
2018-11-07,2013-08-01,6753,2018-11-07
2018-11-07,2013-09-01,6843,2018-11-07
2018-11-07,2013-10-01,6902,2018-11-07
2018-11-07,2013-11-01,6933,2018-11-07
2018-11-07,2013-12-01,6871,2018-11-07
2018-11-07,2014-01-01,6542,2018-11-07
2018-11-07,2014-02-01,6813,2018-11-07
2018-11-07,2014-03-01,6766,2018-11-07
2018-11-07,2014-04-01,6900,2018-11-07
2018-11-07,2014-05-01,6877,2018-11-07
2018-11-07,2014-06-01,6953,2018-11-07
2018-11-07,2014-07-01,6947,2018-11-07
2018-11-07,2014-08-01,7206,2018-11-07
2018-11-07,2014-09-01,7090,2018-11-07
2018-11-07,2014-10-01,7197,2018-11-07
2018-11-07,2014-11-01,7193,2018-11-07
2018-11-07,2014-12-01,7086,2018-11-07
2018-11-07,2015-01-01,6904,2018-11-07
2018-11-07,2015-02-01,6896,2018-11-07
2018-11-07,2015-03-01,7017,2018-11-07
2018-11-07,2015-04-01,7047,2018-11-07
2018-11-07,2015-05-01,7096,2018-11-07
2018-11-07,2015-06-01,7086,2018-11-07
2018-11-07,2015-07-01,7167,2018-11-07
2018-11-07,2015-08-01,7229,2018-11-07
2018-11-07,2015-09-01,7248,2018-11-07
2018-11-07,2015-10-01,7144,2018-11-07
2018-11-07,2015-11-01,7261,2018-11-07
2018-11-07,2015-12-01,7433,2018-11-07
2018-11-07,2016-01-01,7293,2018-11-07
2018-11-07,2016-02-01,7281,2018-11-07
2018-11-07,2016-03-01,7295,2018-11-07
2018-11-07,2016-04-01,7236,2018-11-07
2018-11-07,2016-05-01,7333,2018-11-07
2018-11-07,2016-06-01,7601,2018-11-07
2018-11-07,2016-07-01,7287,2018-11-07
2018-11-07,2016-08-01,7040,2018-11-07
2018-11-07,2016-09-01,7104,2018-11-07
2018-11-07,2016-10-01,7068,2018-11-07
2018-11-07,2016-11-01,6956,2018-11-07
2018-11-07,2016-12-01,6996,2018-11-07
2018-11-07,2017-01-01,7214,2018-11-07
2018-11-07,2017-02-01,7038,2018-11-07
2018-11-07,2017-03-01,6930,2018-11-07
2018-11-07,2017-04-01,7006,2018-11-07
2018-11-07,2017-05-01,6910,2018-11-07
2018-11-07,2017-06-01,6957,2018-11-07
2018-11-07,2017-07-01,6957,2018-11-07
2018-11-07,2017-08-01,6913,2018-11-07
2018-11-07,2017-09-01,6920,2018-11-07
2018-11-07,2017-10-01,7011,2018-11-07
2018-11-07,2017-11-01,7115,2018-11-07
2018-11-07,2017-12-01,6739,2018-11-07
2018-11-07,2018-01-01,6666,2018-11-07
2018-11-07,2018-02-01,6946,2018-11-07
2018-11-07,2018-03-01,6993,2018-11-07
2018-11-07,2018-04-01,6951,2018-11-07
2018-11-07,2018-05-01,6882,2018-11-07
2018-11-07,2018-06-01,6734,2018-11-07
2018-11-07,2018-07-01,6645,2018-11-07
2018-11-07,2018-08-01,6611,2018-11-07
2018-11-07,2018-09-01,6659,2018-11-07
