realtime_start,date,value,realtime_end
2018-11-07,1992-01-01,10845,2018-11-07
2018-11-07,1992-02-01,10904,2018-11-07
2018-11-07,1992-03-01,10986,2018-11-07
2018-11-07,1992-04-01,10738,2018-11-07
2018-11-07,1992-05-01,10777,2018-11-07
2018-11-07,1992-06-01,10790,2018-11-07
2018-11-07,1992-07-01,10785,2018-11-07
2018-11-07,1992-08-01,10915,2018-11-07
2018-11-07,1992-09-01,10980,2018-11-07
2018-11-07,1992-10-01,10971,2018-11-07
2018-11-07,1992-11-01,10873,2018-11-07
2018-11-07,1992-12-01,11082,2018-11-07
2018-11-07,1993-01-01,11333,2018-11-07
2018-11-07,1993-02-01,11410,2018-11-07
2018-11-07,1993-03-01,11184,2018-11-07
2018-11-07,1993-04-01,11417,2018-11-07
2018-11-07,1993-05-01,11720,2018-11-07
2018-11-07,1993-06-01,11669,2018-11-07
2018-11-07,1993-07-01,11781,2018-11-07
2018-11-07,1993-08-01,11875,2018-11-07
2018-11-07,1993-09-01,11786,2018-11-07
2018-11-07,1993-10-01,11908,2018-11-07
2018-11-07,1993-11-01,12297,2018-11-07
2018-11-07,1993-12-01,12583,2018-11-07
2018-11-07,1994-01-01,12316,2018-11-07
2018-11-07,1994-02-01,12233,2018-11-07
2018-11-07,1994-03-01,12767,2018-11-07
2018-11-07,1994-04-01,13076,2018-11-07
2018-11-07,1994-05-01,13033,2018-11-07
2018-11-07,1994-06-01,12987,2018-11-07
2018-11-07,1994-07-01,13130,2018-11-07
2018-11-07,1994-08-01,13224,2018-11-07
2018-11-07,1994-09-01,13375,2018-11-07
2018-11-07,1994-10-01,13550,2018-11-07
2018-11-07,1994-11-01,13384,2018-11-07
2018-11-07,1994-12-01,13981,2018-11-07
2018-11-07,1995-01-01,13738,2018-11-07
2018-11-07,1995-02-01,13613,2018-11-07
2018-11-07,1995-03-01,13587,2018-11-07
2018-11-07,1995-04-01,13415,2018-11-07
2018-11-07,1995-05-01,13370,2018-11-07
2018-11-07,1995-06-01,13548,2018-11-07
2018-11-07,1995-07-01,13645,2018-11-07
2018-11-07,1995-08-01,13683,2018-11-07
2018-11-07,1995-09-01,13837,2018-11-07
2018-11-07,1995-10-01,13932,2018-11-07
2018-11-07,1995-11-01,14092,2018-11-07
2018-11-07,1995-12-01,14683,2018-11-07
2018-11-07,1996-01-01,14023,2018-11-07
2018-11-07,1996-02-01,14036,2018-11-07
2018-11-07,1996-03-01,14153,2018-11-07
2018-11-07,1996-04-01,14340,2018-11-07
2018-11-07,1996-05-01,14450,2018-11-07
2018-11-07,1996-06-01,14902,2018-11-07
2018-11-07,1996-07-01,14826,2018-11-07
2018-11-07,1996-08-01,14981,2018-11-07
2018-11-07,1996-09-01,14989,2018-11-07
2018-11-07,1996-10-01,15040,2018-11-07
2018-11-07,1996-11-01,15264,2018-11-07
2018-11-07,1996-12-01,14980,2018-11-07
2018-11-07,1997-01-01,15197,2018-11-07
2018-11-07,1997-02-01,15561,2018-11-07
2018-11-07,1997-03-01,15862,2018-11-07
2018-11-07,1997-04-01,15709,2018-11-07
2018-11-07,1997-05-01,15805,2018-11-07
2018-11-07,1997-06-01,15918,2018-11-07
2018-11-07,1997-07-01,15973,2018-11-07
2018-11-07,1997-08-01,16027,2018-11-07
2018-11-07,1997-09-01,16283,2018-11-07
2018-11-07,1997-10-01,16232,2018-11-07
2018-11-07,1997-11-01,16158,2018-11-07
2018-11-07,1997-12-01,16356,2018-11-07
2018-11-07,1998-01-01,16436,2018-11-07
2018-11-07,1998-02-01,16462,2018-11-07
2018-11-07,1998-03-01,16511,2018-11-07
2018-11-07,1998-04-01,16716,2018-11-07
2018-11-07,1998-05-01,16741,2018-11-07
2018-11-07,1998-06-01,16662,2018-11-07
2018-11-07,1998-07-01,16819,2018-11-07
2018-11-07,1998-08-01,16828,2018-11-07
2018-11-07,1998-09-01,16972,2018-11-07
2018-11-07,1998-10-01,17209,2018-11-07
2018-11-07,1998-11-01,17341,2018-11-07
2018-11-07,1998-12-01,17702,2018-11-07
2018-11-07,1999-01-01,17732,2018-11-07
2018-11-07,1999-02-01,17943,2018-11-07
2018-11-07,1999-03-01,17760,2018-11-07
2018-11-07,1999-04-01,17791,2018-11-07
2018-11-07,1999-05-01,17914,2018-11-07
2018-11-07,1999-06-01,17969,2018-11-07
2018-11-07,1999-07-01,18183,2018-11-07
2018-11-07,1999-08-01,18341,2018-11-07
2018-11-07,1999-09-01,18175,2018-11-07
2018-11-07,1999-10-01,18606,2018-11-07
2018-11-07,1999-11-01,18944,2018-11-07
2018-11-07,1999-12-01,19125,2018-11-07
2018-11-07,2000-01-01,19613,2018-11-07
2018-11-07,2000-02-01,19193,2018-11-07
2018-11-07,2000-03-01,20175,2018-11-07
2018-11-07,2000-04-01,18986,2018-11-07
2018-11-07,2000-05-01,18941,2018-11-07
2018-11-07,2000-06-01,18878,2018-11-07
2018-11-07,2000-07-01,18982,2018-11-07
2018-11-07,2000-08-01,18951,2018-11-07
2018-11-07,2000-09-01,18926,2018-11-07
2018-11-07,2000-10-01,18965,2018-11-07
2018-11-07,2000-11-01,18689,2018-11-07
2018-11-07,2000-12-01,19356,2018-11-07
2018-11-07,2001-01-01,19248,2018-11-07
2018-11-07,2001-02-01,19698,2018-11-07
2018-11-07,2001-03-01,19562,2018-11-07
2018-11-07,2001-04-01,20373,2018-11-07
2018-11-07,2001-05-01,20147,2018-11-07
2018-11-07,2001-06-01,19900,2018-11-07
2018-11-07,2001-07-01,19838,2018-11-07
2018-11-07,2001-08-01,19920,2018-11-07
2018-11-07,2001-09-01,19664,2018-11-07
2018-11-07,2001-10-01,20054,2018-11-07
2018-11-07,2001-11-01,19982,2018-11-07
2018-11-07,2001-12-01,20120,2018-11-07
2018-11-07,2002-01-01,20359,2018-11-07
2018-11-07,2002-02-01,20515,2018-11-07
2018-11-07,2002-03-01,20370,2018-11-07
2018-11-07,2002-04-01,21274,2018-11-07
2018-11-07,2002-05-01,20874,2018-11-07
2018-11-07,2002-06-01,20725,2018-11-07
2018-11-07,2002-07-01,20674,2018-11-07
2018-11-07,2002-08-01,20683,2018-11-07
2018-11-07,2002-09-01,20732,2018-11-07
2018-11-07,2002-10-01,20603,2018-11-07
2018-11-07,2002-11-01,20969,2018-11-07
2018-11-07,2002-12-01,20415,2018-11-07
2018-11-07,2003-01-01,21270,2018-11-07
2018-11-07,2003-02-01,20041,2018-11-07
2018-11-07,2003-03-01,21326,2018-11-07
2018-11-07,2003-04-01,21139,2018-11-07
2018-11-07,2003-05-01,21328,2018-11-07
2018-11-07,2003-06-01,22003,2018-11-07
2018-11-07,2003-07-01,22372,2018-11-07
2018-11-07,2003-08-01,22489,2018-11-07
2018-11-07,2003-09-01,22630,2018-11-07
2018-11-07,2003-10-01,22869,2018-11-07
2018-11-07,2003-11-01,22864,2018-11-07
2018-11-07,2003-12-01,22748,2018-11-07
2018-11-07,2004-01-01,22637,2018-11-07
2018-11-07,2004-02-01,22727,2018-11-07
2018-11-07,2004-03-01,24992,2018-11-07
2018-11-07,2004-04-01,24565,2018-11-07
2018-11-07,2004-05-01,24420,2018-11-07
2018-11-07,2004-06-01,24622,2018-11-07
2018-11-07,2004-07-01,24538,2018-11-07
2018-11-07,2004-08-01,24713,2018-11-07
2018-11-07,2004-09-01,25045,2018-11-07
2018-11-07,2004-10-01,24842,2018-11-07
2018-11-07,2004-11-01,24974,2018-11-07
2018-11-07,2004-12-01,25679,2018-11-07
2018-11-07,2005-01-01,26126,2018-11-07
2018-11-07,2005-02-01,25797,2018-11-07
2018-11-07,2005-03-01,26219,2018-11-07
2018-11-07,2005-04-01,26520,2018-11-07
2018-11-07,2005-05-01,26510,2018-11-07
2018-11-07,2005-06-01,26569,2018-11-07
2018-11-07,2005-07-01,26538,2018-11-07
2018-11-07,2005-08-01,26814,2018-11-07
2018-11-07,2005-09-01,27111,2018-11-07
2018-11-07,2005-10-01,27664,2018-11-07
2018-11-07,2005-11-01,27674,2018-11-07
2018-11-07,2005-12-01,27324,2018-11-07
2018-11-07,2006-01-01,29686,2018-11-07
2018-11-07,2006-02-01,29479,2018-11-07
2018-11-07,2006-03-01,29289,2018-11-07
2018-11-07,2006-04-01,28905,2018-11-07
2018-11-07,2006-05-01,27864,2018-11-07
2018-11-07,2006-06-01,27339,2018-11-07
2018-11-07,2006-07-01,27327,2018-11-07
2018-11-07,2006-08-01,27358,2018-11-07
2018-11-07,2006-09-01,26994,2018-11-07
2018-11-07,2006-10-01,27161,2018-11-07
2018-11-07,2006-11-01,26647,2018-11-07
2018-11-07,2006-12-01,27100,2018-11-07
2018-11-07,2007-01-01,27533,2018-11-07
2018-11-07,2007-02-01,27088,2018-11-07
2018-11-07,2007-03-01,27506,2018-11-07
2018-11-07,2007-04-01,26610,2018-11-07
2018-11-07,2007-05-01,27144,2018-11-07
2018-11-07,2007-06-01,26638,2018-11-07
2018-11-07,2007-07-01,26860,2018-11-07
2018-11-07,2007-08-01,26625,2018-11-07
2018-11-07,2007-09-01,26412,2018-11-07
2018-11-07,2007-10-01,26248,2018-11-07
2018-11-07,2007-11-01,26566,2018-11-07
2018-11-07,2007-12-01,25634,2018-11-07
2018-11-07,2008-01-01,25721,2018-11-07
2018-11-07,2008-02-01,25659,2018-11-07
2018-11-07,2008-03-01,25456,2018-11-07
2018-11-07,2008-04-01,25292,2018-11-07
2018-11-07,2008-05-01,25650,2018-11-07
2018-11-07,2008-06-01,25700,2018-11-07
2018-11-07,2008-07-01,25897,2018-11-07
2018-11-07,2008-08-01,25329,2018-11-07
2018-11-07,2008-09-01,25217,2018-11-07
2018-11-07,2008-10-01,24568,2018-11-07
2018-11-07,2008-11-01,23196,2018-11-07
2018-11-07,2008-12-01,22909,2018-11-07
2018-11-07,2009-01-01,22758,2018-11-07
2018-11-07,2009-02-01,22498,2018-11-07
2018-11-07,2009-03-01,22149,2018-11-07
2018-11-07,2009-04-01,22092,2018-11-07
2018-11-07,2009-05-01,22310,2018-11-07
2018-11-07,2009-06-01,22332,2018-11-07
2018-11-07,2009-07-01,21883,2018-11-07
2018-11-07,2009-08-01,21474,2018-11-07
2018-11-07,2009-09-01,21363,2018-11-07
2018-11-07,2009-10-01,20661,2018-11-07
2018-11-07,2009-11-01,20931,2018-11-07
2018-11-07,2009-12-01,20849,2018-11-07
2018-11-07,2010-01-01,20566,2018-11-07
2018-11-07,2010-02-01,20448,2018-11-07
2018-11-07,2010-03-01,21883,2018-11-07
2018-11-07,2010-04-01,23518,2018-11-07
2018-11-07,2010-05-01,21742,2018-11-07
2018-11-07,2010-06-01,21544,2018-11-07
2018-11-07,2010-07-01,21499,2018-11-07
2018-11-07,2010-08-01,21268,2018-11-07
2018-11-07,2010-09-01,21336,2018-11-07
2018-11-07,2010-10-01,22040,2018-11-07
2018-11-07,2010-11-01,21964,2018-11-07
2018-11-07,2010-12-01,22099,2018-11-07
