realtime_start,date,value,realtime_end
2018-11-07,1992-01-01,30437,2018-11-07
2018-11-07,1992-02-01,30382,2018-11-07
2018-11-07,1992-03-01,30526,2018-11-07
2018-11-07,1992-04-01,30602,2018-11-07
2018-11-07,1992-05-01,30718,2018-11-07
2018-11-07,1992-06-01,30761,2018-11-07
2018-11-07,1992-07-01,30963,2018-11-07
2018-11-07,1992-08-01,31041,2018-11-07
2018-11-07,1992-09-01,30942,2018-11-07
2018-11-07,1992-10-01,31148,2018-11-07
2018-11-07,1992-11-01,30992,2018-11-07
2018-11-07,1992-12-01,31057,2018-11-07
2018-11-07,1993-01-01,31045,2018-11-07
2018-11-07,1993-02-01,31233,2018-11-07
2018-11-07,1993-03-01,31058,2018-11-07
2018-11-07,1993-04-01,31129,2018-11-07
2018-11-07,1993-05-01,31164,2018-11-07
2018-11-07,1993-06-01,31168,2018-11-07
2018-11-07,1993-07-01,31349,2018-11-07
2018-11-07,1993-08-01,31126,2018-11-07
2018-11-07,1993-09-01,31201,2018-11-07
2018-11-07,1993-10-01,31346,2018-11-07
2018-11-07,1993-11-01,31363,2018-11-07
2018-11-07,1993-12-01,31499,2018-11-07
2018-11-07,1994-01-01,31468,2018-11-07
2018-11-07,1994-02-01,31688,2018-11-07
2018-11-07,1994-03-01,31700,2018-11-07
2018-11-07,1994-04-01,31899,2018-11-07
2018-11-07,1994-05-01,31858,2018-11-07
2018-11-07,1994-06-01,32123,2018-11-07
2018-11-07,1994-07-01,31964,2018-11-07
2018-11-07,1994-08-01,32222,2018-11-07
2018-11-07,1994-09-01,32401,2018-11-07
2018-11-07,1994-10-01,32196,2018-11-07
2018-11-07,1994-11-01,32370,2018-11-07
2018-11-07,1994-12-01,32294,2018-11-07
2018-11-07,1995-01-01,32625,2018-11-07
2018-11-07,1995-02-01,32399,2018-11-07
2018-11-07,1995-03-01,32415,2018-11-07
2018-11-07,1995-04-01,32312,2018-11-07
2018-11-07,1995-05-01,32540,2018-11-07
2018-11-07,1995-06-01,32597,2018-11-07
2018-11-07,1995-07-01,32466,2018-11-07
2018-11-07,1995-08-01,32547,2018-11-07
2018-11-07,1995-09-01,32625,2018-11-07
