realtime_start,date,value,realtime_end
2018-11-07,1992-01-01,15693,2018-11-07
2018-11-07,1992-02-01,15835,2018-11-07
2018-11-07,1992-03-01,16848,2018-11-07
2018-11-07,1992-04-01,16494,2018-11-07
2018-11-07,1992-05-01,17648,2018-11-07
2018-11-07,1992-06-01,16814,2018-11-07
2018-11-07,1992-07-01,17304,2018-11-07
2018-11-07,1992-08-01,17888,2018-11-07
2018-11-07,1992-09-01,16459,2018-11-07
2018-11-07,1992-10-01,17668,2018-11-07
2018-11-07,1992-11-01,16723,2018-11-07
2018-11-07,1992-12-01,17491,2018-11-07
2018-11-07,1993-01-01,16201,2018-11-07
2018-11-07,1993-02-01,15625,2018-11-07
2018-11-07,1993-03-01,17414,2018-11-07
2018-11-07,1993-04-01,17841,2018-11-07
2018-11-07,1993-05-01,18712,2018-11-07
2018-11-07,1993-06-01,18571,2018-11-07
2018-11-07,1993-07-01,19092,2018-11-07
2018-11-07,1993-08-01,19329,2018-11-07
2018-11-07,1993-09-01,18108,2018-11-07
2018-11-07,1993-10-01,18745,2018-11-07
2018-11-07,1993-11-01,17463,2018-11-07
2018-11-07,1993-12-01,18366,2018-11-07
2018-11-07,1994-01-01,16073,2018-11-07
2018-11-07,1994-02-01,16509,2018-11-07
2018-11-07,1994-03-01,18757,2018-11-07
2018-11-07,1994-04-01,18774,2018-11-07
2018-11-07,1994-05-01,19400,2018-11-07
2018-11-07,1994-06-01,19437,2018-11-07
2018-11-07,1994-07-01,20157,2018-11-07
2018-11-07,1994-08-01,19943,2018-11-07
2018-11-07,1994-09-01,18826,2018-11-07
2018-11-07,1994-10-01,19314,2018-11-07
2018-11-07,1994-11-01,18248,2018-11-07
2018-11-07,1994-12-01,19562,2018-11-07
2018-11-07,1995-01-01,17340,2018-11-07
2018-11-07,1995-02-01,16982,2018-11-07
2018-11-07,1995-03-01,19369,2018-11-07
2018-11-07,1995-04-01,19404,2018-11-07
2018-11-07,1995-05-01,20209,2018-11-07
2018-11-07,1995-06-01,20235,2018-11-07
2018-11-07,1995-07-01,20502,2018-11-07
2018-11-07,1995-08-01,20878,2018-11-07
