realtime_start,date,value,realtime_end
2018-11-07,1992-01-01,27835,2018-11-07
2018-11-07,1992-02-01,27720,2018-11-07
2018-11-07,1992-03-01,27848,2018-11-07
2018-11-07,1992-04-01,27867,2018-11-07
2018-11-07,1992-05-01,27987,2018-11-07
2018-11-07,1992-06-01,28011,2018-11-07
2018-11-07,1992-07-01,28183,2018-11-07
2018-11-07,1992-08-01,28222,2018-11-07
2018-11-07,1992-09-01,28122,2018-11-07
2018-11-07,1992-10-01,28328,2018-11-07
2018-11-07,1992-11-01,28184,2018-11-07
2018-11-07,1992-12-01,28233,2018-11-07
2018-11-07,1993-01-01,28220,2018-11-07
2018-11-07,1993-02-01,28419,2018-11-07
2018-11-07,1993-03-01,28307,2018-11-07
2018-11-07,1993-04-01,28367,2018-11-07
2018-11-07,1993-05-01,28386,2018-11-07
2018-11-07,1993-06-01,28377,2018-11-07
2018-11-07,1993-07-01,28554,2018-11-07
2018-11-07,1993-08-01,28357,2018-11-07
2018-11-07,1993-09-01,28478,2018-11-07
2018-11-07,1993-10-01,28618,2018-11-07
2018-11-07,1993-11-01,28625,2018-11-07
2018-11-07,1993-12-01,28773,2018-11-07
2018-11-07,1994-01-01,28722,2018-11-07
2018-11-07,1994-02-01,28923,2018-11-07
2018-11-07,1994-03-01,28914,2018-11-07
2018-11-07,1994-04-01,29111,2018-11-07
2018-11-07,1994-05-01,29025,2018-11-07
2018-11-07,1994-06-01,29311,2018-11-07
2018-11-07,1994-07-01,29149,2018-11-07
2018-11-07,1994-08-01,29410,2018-11-07
2018-11-07,1994-09-01,29545,2018-11-07
2018-11-07,1994-10-01,29343,2018-11-07
2018-11-07,1994-11-01,29520,2018-11-07
2018-11-07,1994-12-01,29443,2018-11-07
2018-11-07,1995-01-01,29791,2018-11-07
2018-11-07,1995-02-01,29604,2018-11-07
2018-11-07,1995-03-01,29619,2018-11-07
2018-11-07,1995-04-01,29499,2018-11-07
2018-11-07,1995-05-01,29763,2018-11-07
2018-11-07,1995-06-01,29812,2018-11-07
2018-11-07,1995-07-01,29675,2018-11-07
2018-11-07,1995-08-01,29721,2018-11-07
2018-11-07,1995-09-01,29735,2018-11-07
2018-11-07,1995-10-01,29692,2018-11-07
2018-11-07,1995-11-01,29858,2018-11-07
2018-11-07,1995-12-01,29994,2018-11-07
2018-11-07,1996-01-01,30105,2018-11-07
2018-11-07,1996-02-01,29990,2018-11-07
2018-11-07,1996-03-01,30125,2018-11-07
2018-11-07,1996-04-01,30220,2018-11-07
2018-11-07,1996-05-01,30245,2018-11-07
2018-11-07,1996-06-01,30288,2018-11-07
2018-11-07,1996-07-01,30493,2018-11-07
2018-11-07,1996-08-01,30555,2018-11-07
2018-11-07,1996-09-01,30565,2018-11-07
2018-11-07,1996-10-01,30766,2018-11-07
2018-11-07,1996-11-01,30768,2018-11-07
2018-11-07,1996-12-01,30879,2018-11-07
2018-11-07,1997-01-01,31030,2018-11-07
2018-11-07,1997-02-01,30991,2018-11-07
2018-11-07,1997-03-01,31109,2018-11-07
2018-11-07,1997-04-01,31065,2018-11-07
2018-11-07,1997-05-01,30987,2018-11-07
2018-11-07,1997-06-01,30804,2018-11-07
2018-11-07,1997-07-01,31022,2018-11-07
2018-11-07,1997-08-01,31160,2018-11-07
2018-11-07,1997-09-01,31171,2018-11-07
2018-11-07,1997-10-01,31225,2018-11-07
2018-11-07,1997-11-01,31125,2018-11-07
2018-11-07,1997-12-01,31063,2018-11-07
2018-11-07,1998-01-01,30989,2018-11-07
2018-11-07,1998-02-01,30915,2018-11-07
2018-11-07,1998-03-01,31123,2018-11-07
2018-11-07,1998-04-01,31169,2018-11-07
2018-11-07,1998-05-01,31358,2018-11-07
2018-11-07,1998-06-01,31435,2018-11-07
2018-11-07,1998-07-01,31673,2018-11-07
2018-11-07,1998-08-01,31744,2018-11-07
2018-11-07,1998-09-01,31702,2018-11-07
2018-11-07,1998-10-01,31864,2018-11-07
2018-11-07,1998-11-01,31920,2018-11-07
2018-11-07,1998-12-01,32291,2018-11-07
2018-11-07,1999-01-01,32225,2018-11-07
2018-11-07,1999-02-01,32465,2018-11-07
2018-11-07,1999-03-01,32419,2018-11-07
2018-11-07,1999-04-01,32700,2018-11-07
2018-11-07,1999-05-01,32776,2018-11-07
2018-11-07,1999-06-01,32633,2018-11-07
2018-11-07,1999-07-01,32891,2018-11-07
2018-11-07,1999-08-01,32878,2018-11-07
2018-11-07,1999-09-01,33121,2018-11-07
2018-11-07,1999-10-01,32968,2018-11-07
2018-11-07,1999-11-01,32972,2018-11-07
2018-11-07,1999-12-01,34270,2018-11-07
2018-11-07,2000-01-01,32239,2018-11-07
2018-11-07,2000-02-01,32567,2018-11-07
2018-11-07,2000-03-01,33117,2018-11-07
2018-11-07,2000-04-01,33541,2018-11-07
2018-11-07,2000-05-01,33221,2018-11-07
2018-11-07,2000-06-01,33644,2018-11-07
2018-11-07,2000-07-01,33479,2018-11-07
2018-11-07,2000-08-01,33554,2018-11-07
2018-11-07,2000-09-01,33729,2018-11-07
2018-11-07,2000-10-01,33867,2018-11-07
2018-11-07,2000-11-01,34071,2018-11-07
2018-11-07,2000-12-01,34558,2018-11-07
2018-11-07,2001-01-01,34229,2018-11-07
2018-11-07,2001-02-01,34602,2018-11-07
2018-11-07,2001-03-01,34477,2018-11-07
