realtime_start,obs_date,revenue,realtime_end
11/7/18,1/1/92,7421,11/7/18
11/7/18,2/1/92,7425,11/7/18
11/7/18,3/1/92,7443,11/7/18
11/7/18,4/1/92,7516,11/7/18
11/7/18,5/1/92,7458,11/7/18
11/7/18,6/1/92,7417,11/7/18
11/7/18,7/1/92,7292,11/7/18
11/7/18,8/1/92,7508,11/7/18
11/7/18,9/1/92,7420,11/7/18
11/7/18,10/1/92,7535,11/7/18
11/7/18,11/1/92,7497,11/7/18
11/7/18,12/1/92,7526,11/7/18
11/7/18,1/1/93,7518,11/7/18
11/7/18,2/1/93,7651,11/7/18
11/7/18,3/1/93,7605,11/7/18
11/7/18,4/1/93,7683,11/7/18
11/7/18,5/1/93,7666,11/7/18
11/7/18,6/1/93,7680,11/7/18
11/7/18,7/1/93,7756,11/7/18
11/7/18,8/1/93,7678,11/7/18
11/7/18,9/1/93,7772,11/7/18
11/7/18,10/1/93,7758,11/7/18
11/7/18,11/1/93,7784,11/7/18
11/7/18,12/1/93,7989,11/7/18
11/7/18,1/1/94,7865,11/7/18
11/7/18,2/1/94,7729,11/7/18
11/7/18,3/1/94,7911,11/7/18
11/7/18,4/1/94,7838,11/7/18
11/7/18,5/1/94,7955,11/7/18
11/7/18,6/1/94,8014,11/7/18
11/7/18,7/1/94,8084,11/7/18
11/7/18,8/1/94,8126,11/7/18
11/7/18,9/1/94,8190,11/7/18
11/7/18,10/1/94,8214,11/7/18
11/7/18,11/1/94,8190,11/7/18
11/7/18,12/1/94,8287,11/7/18
11/7/18,1/1/95,8306,11/7/18
11/7/18,2/1/95,8304,11/7/18
11/7/18,3/1/95,8304,11/7/18
11/7/18,4/1/95,8450,11/7/18
11/7/18,5/1/95,8424,11/7/18
11/7/18,6/1/95,8482,11/7/18
11/7/18,7/1/95,8431,11/7/18
11/7/18,8/1/95,8488,11/7/18
11/7/18,9/1/95,8611,11/7/18
11/7/18,10/1/95,8584,11/7/18
11/7/18,11/1/95,8691,11/7/18
11/7/18,12/1/95,8761,11/7/18
11/7/18,1/1/96,8546,11/7/18
11/7/18,2/1/96,8782,11/7/18
11/7/18,3/1/96,8991,11/7/18
11/7/18,4/1/96,8922,11/7/18
11/7/18,5/1/96,9076,11/7/18
11/7/18,6/1/96,9072,11/7/18
11/7/18,7/1/96,9134,11/7/18
11/7/18,8/1/96,9237,11/7/18
11/7/18,9/1/96,9190,11/7/18
11/7/18,10/1/96,9363,11/7/18
11/7/18,11/1/96,9414,11/7/18
11/7/18,12/1/96,9505,11/7/18
11/7/18,1/1/97,9448,11/7/18
11/7/18,2/1/97,9649,11/7/18
11/7/18,3/1/97,9922,11/7/18
11/7/18,4/1/97,9578,11/7/18
11/7/18,5/1/97,9722,11/7/18
11/7/18,6/1/97,9916,11/7/18
11/7/18,7/1/97,9950,11/7/18
11/7/18,8/1/97,9989,11/7/18
11/7/18,9/1/97,10077,11/7/18
11/7/18,10/1/97,10058,11/7/18
11/7/18,11/1/97,10217,11/7/18
11/7/18,12/1/97,10201,11/7/18
11/7/18,1/1/98,10382,11/7/18
11/7/18,2/1/98,10406,11/7/18
11/7/18,3/1/98,10393,11/7/18
11/7/18,4/1/98,10620,11/7/18
11/7/18,5/1/98,10645,11/7/18
11/7/18,6/1/98,10672,11/7/18
11/7/18,7/1/98,10828,11/7/18
11/7/18,8/1/98,11019,11/7/18
11/7/18,9/1/98,10985,11/7/18
11/7/18,10/1/98,11106,11/7/18
11/7/18,11/1/98,11232,11/7/18
11/7/18,12/1/98,11311,11/7/18
11/7/18,1/1/99,11415,11/7/18
11/7/18,2/1/99,11498,11/7/18
11/7/18,3/1/99,11595,11/7/18
11/7/18,4/1/99,11619,11/7/18
11/7/18,5/1/99,11741,11/7/18
11/7/18,6/1/99,11837,11/7/18
11/7/18,7/1/99,11857,11/7/18
11/7/18,8/1/99,11848,11/7/18
11/7/18,9/1/99,11993,11/7/18
11/7/18,10/1/99,12155,11/7/18
11/7/18,11/1/99,12258,11/7/18
11/7/18,12/1/99,12801,11/7/18
11/7/18,1/1/00,12381,11/7/18
11/7/18,2/1/00,12386,11/7/18
11/7/18,3/1/00,12580,11/7/18
11/7/18,4/1/00,12733,11/7/18
11/7/18,5/1/00,12814,11/7/18
11/7/18,6/1/00,12864,11/7/18
11/7/18,7/1/00,12967,11/7/18
11/7/18,8/1/00,13034,11/7/18
11/7/18,9/1/00,13233,11/7/18
11/7/18,10/1/00,13302,11/7/18
11/7/18,11/1/00,13340,11/7/18
11/7/18,12/1/00,13527,11/7/18
11/7/18,1/1/01,13413,11/7/18
11/7/18,2/1/01,13582,11/7/18
11/7/18,3/1/01,13650,11/7/18
11/7/18,4/1/01,13643,11/7/18
11/7/18,5/1/01,13812,11/7/18
11/7/18,6/1/01,13843,11/7/18
11/7/18,7/1/01,13879,11/7/18
11/7/18,8/1/01,14004,11/7/18
11/7/18,9/1/01,13894,11/7/18
11/7/18,10/1/01,14298,11/7/18
11/7/18,11/1/01,14280,11/7/18
11/7/18,12/1/01,14350,11/7/18
11/7/18,1/1/02,14525,11/7/18
11/7/18,2/1/02,14747,11/7/18
11/7/18,3/1/02,14745,11/7/18
11/7/18,4/1/02,14940,11/7/18
11/7/18,5/1/02,14903,11/7/18
11/7/18,6/1/02,14947,11/7/18
11/7/18,7/1/02,15004,11/7/18
11/7/18,8/1/02,15120,11/7/18
11/7/18,9/1/02,15288,11/7/18
11/7/18,10/1/02,15298,11/7/18
11/7/18,11/1/02,15348,11/7/18
11/7/18,12/1/02,15293,11/7/18
11/7/18,1/1/03,15441,11/7/18
11/7/18,2/1/03,15534,11/7/18
11/7/18,3/1/03,15677,11/7/18
11/7/18,4/1/03,15705,11/7/18
11/7/18,5/1/03,15791,11/7/18
11/7/18,6/1/03,15934,11/7/18
11/7/18,7/1/03,16182,11/7/18
11/7/18,8/1/03,16345,11/7/18
11/7/18,9/1/03,16339,11/7/18
11/7/18,10/1/03,16434,11/7/18
11/7/18,11/1/03,16500,11/7/18
11/7/18,12/1/03,16648,11/7/18
11/7/18,1/1/04,16287,11/7/18
11/7/18,2/1/04,16133,11/7/18
11/7/18,3/1/04,16526,11/7/18
11/7/18,4/1/04,16476,11/7/18
11/7/18,5/1/04,16462,11/7/18
11/7/18,6/1/04,16570,11/7/18
11/7/18,7/1/04,16554,11/7/18
11/7/18,8/1/04,16610,11/7/18
11/7/18,9/1/04,16635,11/7/18
11/7/18,10/1/04,16739,11/7/18
11/7/18,11/1/04,16813,11/7/18
11/7/18,12/1/04,16882,11/7/18
11/7/18,1/1/05,17116,11/7/18
11/7/18,2/1/05,17292,11/7/18
11/7/18,3/1/05,17245,11/7/18
11/7/18,4/1/05,17350,11/7/18
11/7/18,5/1/05,17413,11/7/18
11/7/18,6/1/05,17392,11/7/18
11/7/18,7/1/05,17635,11/7/18
11/7/18,8/1/05,17548,11/7/18
11/7/18,9/1/05,17707,11/7/18
11/7/18,10/1/05,17742,11/7/18
11/7/18,11/1/05,17859,11/7/18
11/7/18,12/1/05,18005,11/7/18
11/7/18,1/1/06,18000,11/7/18
11/7/18,2/1/06,18124,11/7/18
11/7/18,3/1/06,18222,11/7/18
11/7/18,4/1/06,18294,11/7/18
11/7/18,5/1/06,18466,11/7/18
11/7/18,6/1/06,18584,11/7/18
11/7/18,7/1/06,18640,11/7/18
11/7/18,8/1/06,18757,11/7/18
11/7/18,9/1/06,18933,11/7/18
11/7/18,10/1/06,19044,11/7/18
11/7/18,11/1/06,19276,11/7/18
11/7/18,12/1/06,19385,11/7/18
11/7/18,1/1/07,19423,11/7/18
11/7/18,2/1/07,19401,11/7/18
11/7/18,3/1/07,19540,11/7/18
11/7/18,4/1/07,19572,11/7/18
11/7/18,5/1/07,19650,11/7/18
11/7/18,6/1/07,19880,11/7/18
11/7/18,7/1/07,19831,11/7/18
11/7/18,8/1/07,20014,11/7/18
11/7/18,9/1/07,20132,11/7/18
11/7/18,10/1/07,19988,11/7/18
11/7/18,11/1/07,19938,11/7/18
11/7/18,12/1/07,19825,11/7/18
11/7/18,1/1/08,20120,11/7/18
11/7/18,2/1/08,20279,11/7/18
11/7/18,3/1/08,20288,11/7/18
11/7/18,4/1/08,20172,11/7/18
11/7/18,5/1/08,20536,11/7/18
11/7/18,6/1/08,20497,11/7/18
11/7/18,7/1/08,20640,11/7/18
11/7/18,8/1/08,20620,11/7/18
11/7/18,9/1/08,20654,11/7/18
11/7/18,10/1/08,20659,11/7/18
11/7/18,11/1/08,20789,11/7/18
11/7/18,12/1/08,20682,11/7/18
11/7/18,1/1/09,20753,11/7/18
11/7/18,2/1/09,20906,11/7/18
11/7/18,3/1/09,20908,11/7/18
11/7/18,4/1/09,21059,11/7/18
11/7/18,5/1/09,21121,11/7/18
11/7/18,6/1/09,21055,11/7/18
11/7/18,7/1/09,21027,11/7/18
11/7/18,8/1/09,21070,11/7/18
11/7/18,9/1/09,21231,11/7/18
11/7/18,10/1/09,21278,11/7/18
11/7/18,11/1/09,21288,11/7/18
11/7/18,12/1/09,21195,11/7/18
11/7/18,1/1/10,21144,11/7/18
11/7/18,2/1/10,21199,11/7/18
11/7/18,3/1/10,21363,11/7/18
11/7/18,4/1/10,21492,11/7/18
11/7/18,5/1/10,21378,11/7/18
11/7/18,6/1/10,21683,11/7/18
