realtime_start,obs_date,revenue,realtime_end
11/7/18,1/1/92,33478,11/7/18
11/7/18,2/1/92,33817,11/7/18
11/7/18,3/1/92,33336,11/7/18
11/7/18,4/1/92,33776,11/7/18
11/7/18,5/1/92,34357,11/7/18
11/7/18,6/1/92,34781,11/7/18
11/7/18,7/1/92,35199,11/7/18
11/7/18,8/1/92,34585,11/7/18
11/7/18,9/1/92,35890,11/7/18
11/7/18,10/1/92,35972,11/7/18
11/7/18,11/1/92,35928,11/7/18
11/7/18,12/1/92,36272,11/7/18
11/7/18,1/1/93,37621,11/7/18
11/7/18,2/1/93,36723,11/7/18
11/7/18,3/1/93,35955,11/7/18
11/7/18,4/1/93,38521,11/7/18
11/7/18,5/1/93,39006,11/7/18
11/7/18,6/1/93,38892,11/7/18
11/7/18,7/1/93,40290,11/7/18
11/7/18,8/1/93,40504,11/7/18
11/7/18,9/1/93,40203,11/7/18
11/7/18,10/1/93,40857,11/7/18
11/7/18,11/1/93,42077,11/7/18
11/7/18,12/1/93,42796,11/7/18
11/7/18,1/1/94,42660,11/7/18
11/7/18,2/1/94,43685,11/7/18
11/7/18,3/1/94,44475,11/7/18
11/7/18,4/1/94,45072,11/7/18
11/7/18,5/1/94,44098,11/7/18
11/7/18,6/1/94,44541,11/7/18
11/7/18,7/1/94,44477,11/7/18
11/7/18,8/1/94,45232,11/7/18
11/7/18,9/1/94,46314,11/7/18
11/7/18,10/1/94,47041,11/7/18
11/7/18,11/1/94,47203,11/7/18
11/7/18,12/1/94,46941,11/7/18
11/7/18,1/1/95,47224,11/7/18
11/7/18,2/1/95,45902,11/7/18
11/7/18,3/1/95,46681,11/7/18
11/7/18,4/1/95,47056,11/7/18
11/7/18,5/1/95,47718,11/7/18
11/7/18,6/1/95,49652,11/7/18
11/7/18,7/1/95,48832,11/7/18
11/7/18,8/1/95,49748,11/7/18
11/7/18,9/1/95,49188,11/7/18
11/7/18,10/1/95,49271,11/7/18
11/7/18,11/1/95,49863,11/7/18
11/7/18,12/1/95,50163,11/7/18
11/7/18,1/1/96,50349,11/7/18
11/7/18,2/1/96,52288,11/7/18
11/7/18,3/1/96,52348,11/7/18
11/7/18,4/1/96,51531,11/7/18
11/7/18,5/1/96,52200,11/7/18
11/7/18,6/1/96,51798,11/7/18
11/7/18,7/1/96,52004,11/7/18
11/7/18,8/1/96,51472,11/7/18
11/7/18,9/1/96,53184,11/7/18
11/7/18,10/1/96,53450,11/7/18
11/7/18,11/1/96,52710,11/7/18
11/7/18,12/1/96,52835,11/7/18
11/7/18,1/1/97,54010,11/7/18
11/7/18,2/1/97,54601,11/7/18
11/7/18,3/1/97,54233,11/7/18
11/7/18,4/1/97,53861,11/7/18
11/7/18,5/1/97,52191,11/7/18
11/7/18,6/1/97,54066,11/7/18
11/7/18,7/1/97,55255,11/7/18
11/7/18,8/1/97,55488,11/7/18
11/7/18,9/1/97,55334,11/7/18
11/7/18,10/1/97,54856,11/7/18
11/7/18,11/1/97,55314,11/7/18
11/7/18,12/1/97,55763,11/7/18
11/7/18,1/1/98,55494,11/7/18
11/7/18,2/1/98,54841,11/7/18
11/7/18,3/1/98,56135,11/7/18
11/7/18,4/1/98,57464,11/7/18
11/7/18,5/1/98,57882,11/7/18
11/7/18,6/1/98,59264,11/7/18
11/7/18,7/1/98,56320,11/7/18
11/7/18,8/1/98,54997,11/7/18
11/7/18,9/1/98,57196,11/7/18
11/7/18,10/1/98,59294,11/7/18
11/7/18,11/1/98,59817,11/7/18
11/7/18,12/1/98,60473,11/7/18
11/7/18,1/1/99,60535,11/7/18
11/7/18,2/1/99,61260,11/7/18
11/7/18,3/1/99,61641,11/7/18
11/7/18,4/1/99,62150,11/7/18
11/7/18,5/1/99,63211,11/7/18
11/7/18,6/1/99,63452,11/7/18
11/7/18,7/1/99,64509,11/7/18
11/7/18,8/1/99,65713,11/7/18
11/7/18,9/1/99,65150,11/7/18
11/7/18,10/1/99,64519,11/7/18
11/7/18,11/1/99,66269,11/7/18
11/7/18,12/1/99,65909,11/7/18
11/7/18,1/1/00,67679,11/7/18
11/7/18,2/1/00,69085,11/7/18
11/7/18,3/1/00,68433,11/7/18
11/7/18,4/1/00,65812,11/7/18
11/7/18,5/1/00,65781,11/7/18
11/7/18,6/1/00,66638,11/7/18
11/7/18,7/1/00,65205,11/7/18
11/7/18,8/1/00,65311,11/7/18
11/7/18,9/1/00,66850,11/7/18
11/7/18,10/1/00,66208,11/7/18
11/7/18,11/1/00,64645,11/7/18
11/7/18,12/1/00,63524,11/7/18
11/7/18,1/1/01,65926,11/7/18
11/7/18,2/1/01,66188,11/7/18
11/7/18,3/1/01,65671,11/7/18
11/7/18,4/1/01,66933,11/7/18
11/7/18,5/1/01,67039,11/7/18
11/7/18,6/1/01,66710,11/7/18
11/7/18,7/1/01,66067,11/7/18
11/7/18,8/1/01,66350,11/7/18
11/7/18,9/1/01,63929,11/7/18
11/7/18,10/1/01,80455,11/7/18
11/7/18,11/1/01,72413,11/7/18
11/7/18,12/1/01,68220,11/7/18
11/7/18,1/1/02,67665,11/7/18
11/7/18,2/1/02,68168,11/7/18
11/7/18,3/1/02,66570,11/7/18
11/7/18,4/1/02,68251,11/7/18
11/7/18,5/1/02,65062,11/7/18
11/7/18,6/1/02,67354,11/7/18
11/7/18,7/1/02,69944,11/7/18
11/7/18,8/1/02,72204,11/7/18
11/7/18,9/1/02,68066,11/7/18
11/7/18,10/1/02,67553,11/7/18
11/7/18,11/1/02,67931,11/7/18
11/7/18,12/1/02,69794,11/7/18
11/7/18,1/1/03,69673,11/7/18
11/7/18,2/1/03,66535,11/7/18
11/7/18,3/1/03,68628,11/7/18
11/7/18,4/1/03,69580,11/7/18
11/7/18,5/1/03,69660,11/7/18
11/7/18,6/1/03,70325,11/7/18
11/7/18,7/1/03,71049,11/7/18
11/7/18,8/1/03,72919,11/7/18
11/7/18,9/1/03,71184,11/7/18
11/7/18,10/1/03,69817,11/7/18
11/7/18,11/1/03,71738,11/7/18
11/7/18,12/1/03,70103,11/7/18
11/7/18,1/1/04,69270,11/7/18
11/7/18,2/1/04,71093,11/7/18
11/7/18,3/1/04,72137,11/7/18
11/7/18,4/1/04,69960,11/7/18
11/7/18,5/1/04,72821,11/7/18
11/7/18,6/1/04,68991,11/7/18
11/7/18,7/1/04,71238,11/7/18
11/7/18,8/1/04,71365,11/7/18
11/7/18,9/1/04,74729,11/7/18
11/7/18,10/1/04,73858,11/7/18
11/7/18,11/1/04,73407,11/7/18
11/7/18,12/1/04,75387,11/7/18
11/7/18,1/1/05,72083,11/7/18
11/7/18,2/1/05,73773,11/7/18
11/7/18,3/1/05,74147,11/7/18
11/7/18,4/1/05,73649,11/7/18
11/7/18,5/1/05,73225,11/7/18
11/7/18,6/1/05,79639,11/7/18
11/7/18,7/1/05,81605,11/7/18
11/7/18,8/1/05,73787,11/7/18
11/7/18,9/1/05,70627,11/7/18
11/7/18,10/1/05,67853,11/7/18
11/7/18,11/1/05,73211,11/7/18
11/7/18,12/1/05,73332,11/7/18
11/7/18,1/1/06,76757,11/7/18
11/7/18,2/1/06,74108,11/7/18
11/7/18,3/1/06,74609,11/7/18
11/7/18,4/1/06,74898,11/7/18
11/7/18,5/1/06,74081,11/7/18
11/7/18,6/1/06,75369,11/7/18
11/7/18,7/1/06,75964,11/7/18
11/7/18,8/1/06,75187,11/7/18
11/7/18,9/1/06,74579,11/7/18
11/7/18,10/1/06,75447,11/7/18
11/7/18,11/1/06,76064,11/7/18
11/7/18,12/1/06,75438,11/7/18
11/7/18,1/1/07,75399,11/7/18
11/7/18,2/1/07,75841,11/7/18
11/7/18,3/1/07,75472,11/7/18
11/7/18,4/1/07,76205,11/7/18
11/7/18,5/1/07,77186,11/7/18
11/7/18,6/1/07,74794,11/7/18
11/7/18,7/1/07,74932,11/7/18
11/7/18,8/1/07,76549,11/7/18
11/7/18,9/1/07,77176,11/7/18
11/7/18,10/1/07,77617,11/7/18
11/7/18,11/1/07,75921,11/7/18
11/7/18,12/1/07,73345,11/7/18
11/7/18,1/1/08,73834,11/7/18
11/7/18,2/1/08,72206,11/7/18
11/7/18,3/1/08,71774,11/7/18
11/7/18,4/1/08,70052,11/7/18
11/7/18,5/1/08,69143,11/7/18
11/7/18,6/1/08,67161,11/7/18
11/7/18,7/1/08,64397,11/7/18
11/7/18,8/1/08,64985,11/7/18
11/7/18,9/1/08,62549,11/7/18
11/7/18,10/1/08,56599,11/7/18
11/7/18,11/1/08,54984,11/7/18
11/7/18,12/1/08,54123,11/7/18
11/7/18,1/1/09,55790,11/7/18
11/7/18,2/1/09,54188,11/7/18
11/7/18,3/1/09,53100,11/7/18
11/7/18,4/1/09,53557,11/7/18
11/7/18,5/1/09,54089,11/7/18
11/7/18,6/1/09,56611,11/7/18
11/7/18,7/1/09,57748,11/7/18
11/7/18,8/1/09,62263,11/7/18
11/7/18,9/1/09,53534,11/7/18
11/7/18,10/1/09,56469,11/7/18
11/7/18,11/1/09,57355,11/7/18
11/7/18,12/1/09,57079,11/7/18
11/7/18,1/1/10,56920,11/7/18
11/7/18,2/1/10,55856,11/7/18
11/7/18,3/1/10,60953,11/7/18
11/7/18,4/1/10,61823,11/7/18
11/7/18,5/1/10,61617,11/7/18
11/7/18,6/1/10,61478,11/7/18
11/7/18,7/1/10,62510,11/7/18
11/7/18,8/1/10,62551,11/7/18
11/7/18,9/1/10,63136,11/7/18
11/7/18,10/1/10,64805,11/7/18
11/7/18,11/1/10,65498,11/7/18
11/7/18,12/1/10,65244,11/7/18
11/7/18,1/1/11,66286,11/7/18
11/7/18,2/1/11,67320,11/7/18
11/7/18,3/1/11,67587,11/7/18
11/7/18,4/1/11,66876,11/7/18
11/7/18,5/1/11,65855,11/7/18
11/7/18,6/1/11,66654,11/7/18
11/7/18,7/1/11,66429,11/7/18
11/7/18,8/1/11,65792,11/7/18
11/7/18,9/1/11,68823,11/7/18
11/7/18,10/1/11,69812,11/7/18
11/7/18,11/1/11,70293,11/7/18
11/7/18,12/1/11,71614,11/7/18
11/7/18,1/1/12,71646,11/7/18
11/7/18,2/1/12,72589,11/7/18
11/7/18,3/1/12,72775,11/7/18
11/7/18,4/1/12,72871,11/7/18
11/7/18,5/1/12,73572,11/7/18
11/7/18,6/1/12,72581,11/7/18
11/7/18,7/1/12,73004,11/7/18
11/7/18,8/1/12,73859,11/7/18
11/7/18,9/1/12,75275,11/7/18
11/7/18,10/1/12,74807,11/7/18
11/7/18,11/1/12,75763,11/7/18
11/7/18,12/1/12,76859,11/7/18
11/7/18,1/1/13,77647,11/7/18
11/7/18,2/1/13,78647,11/7/18
11/7/18,3/1/13,77888,11/7/18
11/7/18,4/1/13,78322,11/7/18
11/7/18,5/1/13,79464,11/7/18
11/7/18,6/1/13,81170,11/7/18
11/7/18,7/1/13,81451,11/7/18
11/7/18,8/1/13,81086,11/7/18
11/7/18,9/1/13,79722,11/7/18
11/7/18,10/1/13,81129,11/7/18
11/7/18,11/1/13,81678,11/7/18
11/7/18,12/1/13,81058,11/7/18
11/7/18,1/1/14,78622,11/7/18
11/7/18,2/1/14,80935,11/7/18
11/7/18,3/1/14,84039,11/7/18
11/7/18,4/1/14,85315,11/7/18
11/7/18,5/1/14,85572,11/7/18
11/7/18,6/1/14,85589,11/7/18
11/7/18,7/1/14,86014,11/7/18
11/7/18,8/1/14,86852,11/7/18
11/7/18,9/1/14,85954,11/7/18
11/7/18,10/1/14,86358,11/7/18
11/7/18,11/1/14,87321,11/7/18
11/7/18,12/1/14,86848,11/7/18
11/7/18,1/1/15,88042,11/7/18
11/7/18,2/1/15,86372,11/7/18
11/7/18,3/1/15,90337,11/7/18
11/7/18,4/1/15,90744,11/7/18
11/7/18,5/1/15,91706,11/7/18
11/7/18,6/1/15,91506,11/7/18
11/7/18,7/1/15,91581,11/7/18
11/7/18,8/1/15,92162,11/7/18
11/7/18,9/1/15,92624,11/7/18
11/7/18,10/1/15,92341,11/7/18
11/7/18,11/1/15,93016,11/7/18
11/7/18,12/1/15,92630,11/7/18
11/7/18,1/1/16,92341,11/7/18
11/7/18,2/1/16,94074,11/7/18
11/7/18,3/1/16,92532,11/7/18
11/7/18,4/1/16,93357,11/7/18
11/7/18,5/1/16,93439,11/7/18
11/7/18,6/1/16,93849,11/7/18
11/7/18,7/1/16,95448,11/7/18
11/7/18,8/1/16,95698,11/7/18
11/7/18,9/1/16,96443,11/7/18
11/7/18,10/1/16,97101,11/7/18
11/7/18,11/1/16,96754,11/7/18
11/7/18,12/1/16,99380,11/7/18
11/7/18,1/1/17,98955,11/7/18
11/7/18,2/1/17,98078,11/7/18
11/7/18,3/1/17,97050,11/7/18
11/7/18,4/1/17,98006,11/7/18
11/7/18,5/1/17,98691,11/7/18
11/7/18,6/1/17,99583,11/7/18
11/7/18,7/1/17,99552,11/7/18
11/7/18,8/1/17,97706,11/7/18
11/7/18,9/1/17,101865,11/7/18
11/7/18,10/1/17,103017,11/7/18
11/7/18,11/1/17,102054,11/7/18
11/7/18,12/1/17,101989,11/7/18
11/7/18,1/1/18,101058,11/7/18
11/7/18,2/1/18,99958,11/7/18
11/7/18,3/1/18,101907,11/7/18
11/7/18,4/1/18,102149,11/7/18
11/7/18,5/1/18,102740,11/7/18
