realtime_start,obs_date,revenue,realtime_end
11/7/18,1/1/92,6515,11/7/18
11/7/18,2/1/92,6110,11/7/18
11/7/18,3/1/92,6018,11/7/18
11/7/18,4/1/92,6327,11/7/18
11/7/18,5/1/92,6550,11/7/18
11/7/18,6/1/92,6653,11/7/18
11/7/18,7/1/92,6891,11/7/18
11/7/18,8/1/92,6766,11/7/18
11/7/18,9/1/92,6714,11/7/18
11/7/18,10/1/92,6665,11/7/18
11/7/18,11/1/92,6610,11/7/18
11/7/18,12/1/92,6597,11/7/18
11/7/18,1/1/93,6644,11/7/18
11/7/18,2/1/93,6780,11/7/18
11/7/18,3/1/93,7009,11/7/18
11/7/18,4/1/93,6868,11/7/18
11/7/18,5/1/93,7309,11/7/18
11/7/18,6/1/93,6858,11/7/18
11/7/18,7/1/93,7046,11/7/18
11/7/18,8/1/93,6999,11/7/18
11/7/18,9/1/93,7486,11/7/18
11/7/18,10/1/93,7343,11/7/18
11/7/18,11/1/93,7561,11/7/18
11/7/18,12/1/93,7438,11/7/18
11/7/18,1/1/94,7720,11/7/18
11/7/18,2/1/94,7681,11/7/18
11/7/18,3/1/94,7853,11/7/18
11/7/18,4/1/94,7941,11/7/18
11/7/18,5/1/94,7859,11/7/18
11/7/18,6/1/94,8074,11/7/18
11/7/18,7/1/94,8077,11/7/18
11/7/18,8/1/94,8241,11/7/18
11/7/18,9/1/94,8106,11/7/18
11/7/18,10/1/94,8306,11/7/18
11/7/18,11/1/94,8092,11/7/18
11/7/18,12/1/94,8237,11/7/18
11/7/18,1/1/95,8182,11/7/18
11/7/18,2/1/95,8307,11/7/18
11/7/18,3/1/95,8216,11/7/18
11/7/18,4/1/95,8365,11/7/18
11/7/18,5/1/95,8518,11/7/18
11/7/18,6/1/95,8429,11/7/18
11/7/18,7/1/95,8499,11/7/18
11/7/18,8/1/95,8699,11/7/18
11/7/18,9/1/95,8842,11/7/18
11/7/18,10/1/95,8702,11/7/18
11/7/18,11/1/95,9170,11/7/18
11/7/18,12/1/95,9543,11/7/18
11/7/18,1/1/96,9038,11/7/18
11/7/18,2/1/96,9400,11/7/18
11/7/18,3/1/96,9606,11/7/18
11/7/18,4/1/96,9632,11/7/18
11/7/18,5/1/96,9519,11/7/18
11/7/18,6/1/96,9610,11/7/18
11/7/18,7/1/96,9550,11/7/18
11/7/18,8/1/96,9468,11/7/18
11/7/18,9/1/96,9889,11/7/18
11/7/18,10/1/96,10025,11/7/18
11/7/18,11/1/96,10390,11/7/18
11/7/18,12/1/96,10765,11/7/18
11/7/18,1/1/97,10006,11/7/18
11/7/18,2/1/97,10350,11/7/18
11/7/18,3/1/97,10488,11/7/18
11/7/18,4/1/97,10642,11/7/18
11/7/18,5/1/97,10547,11/7/18
11/7/18,6/1/97,10643,11/7/18
11/7/18,7/1/97,10836,11/7/18
11/7/18,8/1/97,10432,11/7/18
11/7/18,9/1/97,10669,11/7/18
11/7/18,10/1/97,10529,11/7/18
11/7/18,11/1/97,10675,11/7/18
11/7/18,12/1/97,10490,11/7/18
11/7/18,1/1/98,10390,11/7/18
11/7/18,2/1/98,10626,11/7/18
11/7/18,3/1/98,10844,11/7/18
11/7/18,4/1/98,10992,11/7/18
11/7/18,5/1/98,11189,11/7/18
11/7/18,6/1/98,11103,11/7/18
11/7/18,7/1/98,11580,11/7/18
11/7/18,8/1/98,11375,11/7/18
11/7/18,9/1/98,11302,11/7/18
11/7/18,10/1/98,11577,11/7/18
11/7/18,11/1/98,11553,11/7/18
