realtime_start,obs_date,revenue,realtime_end
11/7/18,1/1/92,3385,11/7/18
11/7/18,2/1/92,3516,11/7/18
11/7/18,3/1/92,3482,11/7/18
11/7/18,4/1/92,3535,11/7/18
11/7/18,5/1/92,3512,11/7/18
11/7/18,6/1/92,3549,11/7/18
11/7/18,7/1/92,3586,11/7/18
11/7/18,8/1/92,3512,11/7/18
11/7/18,9/1/92,3566,11/7/18
11/7/18,10/1/92,3607,11/7/18
11/7/18,11/1/92,3626,11/7/18
11/7/18,12/1/92,3800,11/7/18
11/7/18,1/1/93,3648,11/7/18
11/7/18,2/1/93,3585,11/7/18
11/7/18,3/1/93,3608,11/7/18
11/7/18,4/1/93,3749,11/7/18
11/7/18,5/1/93,3746,11/7/18
11/7/18,6/1/93,3702,11/7/18
11/7/18,7/1/93,3810,11/7/18
11/7/18,8/1/93,3804,11/7/18
11/7/18,9/1/93,3825,11/7/18
11/7/18,10/1/93,3817,11/7/18
11/7/18,11/1/93,3930,11/7/18
11/7/18,12/1/93,4018,11/7/18
11/7/18,1/1/94,3981,11/7/18
11/7/18,2/1/94,4095,11/7/18
11/7/18,3/1/94,4131,11/7/18
11/7/18,4/1/94,4035,11/7/18
11/7/18,5/1/94,4119,11/7/18
11/7/18,6/1/94,4135,11/7/18
11/7/18,7/1/94,4111,11/7/18
11/7/18,8/1/94,4249,11/7/18
11/7/18,9/1/94,4306,11/7/18
11/7/18,10/1/94,4347,11/7/18
11/7/18,11/1/94,4221,11/7/18
11/7/18,12/1/94,4255,11/7/18
11/7/18,1/1/95,4436,11/7/18
11/7/18,2/1/95,4298,11/7/18
11/7/18,3/1/95,4347,11/7/18
11/7/18,4/1/95,4345,11/7/18
11/7/18,5/1/95,4380,11/7/18
11/7/18,6/1/95,4421,11/7/18
11/7/18,7/1/95,4429,11/7/18
11/7/18,8/1/95,4462,11/7/18
11/7/18,9/1/95,4441,11/7/18
11/7/18,10/1/95,4414,11/7/18
11/7/18,11/1/95,4532,11/7/18
11/7/18,12/1/95,4505,11/7/18
11/7/18,1/1/96,4600,11/7/18
11/7/18,2/1/96,4485,11/7/18
11/7/18,3/1/96,4548,11/7/18
11/7/18,4/1/96,4628,11/7/18
11/7/18,5/1/96,4432,11/7/18
11/7/18,6/1/96,4609,11/7/18
11/7/18,7/1/96,4655,11/7/18
11/7/18,8/1/96,4738,11/7/18
11/7/18,9/1/96,4690,11/7/18
11/7/18,10/1/96,4769,11/7/18
11/7/18,11/1/96,4692,11/7/18
11/7/18,12/1/96,4940,11/7/18
11/7/18,1/1/97,4748,11/7/18
11/7/18,2/1/97,4666,11/7/18
11/7/18,3/1/97,4698,11/7/18
11/7/18,4/1/97,4725,11/7/18
11/7/18,5/1/97,4763,11/7/18
11/7/18,6/1/97,4838,11/7/18
11/7/18,7/1/97,4786,11/7/18
11/7/18,8/1/97,4745,11/7/18
11/7/18,9/1/97,4827,11/7/18
11/7/18,10/1/97,4878,11/7/18
11/7/18,11/1/97,5015,11/7/18
11/7/18,12/1/97,4915,11/7/18
11/7/18,1/1/98,4834,11/7/18
11/7/18,2/1/98,5027,11/7/18
11/7/18,3/1/98,5008,11/7/18
11/7/18,4/1/98,5036,11/7/18
11/7/18,5/1/98,4986,11/7/18
11/7/18,6/1/98,5083,11/7/18
11/7/18,7/1/98,5032,11/7/18
11/7/18,8/1/98,5057,11/7/18
11/7/18,9/1/98,5047,11/7/18
11/7/18,10/1/98,5108,11/7/18
11/7/18,11/1/98,5093,11/7/18
11/7/18,12/1/98,5154,11/7/18
11/7/18,1/1/99,5122,11/7/18
11/7/18,2/1/99,5292,11/7/18
11/7/18,3/1/99,5273,11/7/18
11/7/18,4/1/99,5277,11/7/18
11/7/18,5/1/99,5328,11/7/18
11/7/18,6/1/99,5367,11/7/18
11/7/18,7/1/99,5326,11/7/18
11/7/18,8/1/99,5290,11/7/18
11/7/18,9/1/99,5385,11/7/18
11/7/18,10/1/99,5373,11/7/18
11/7/18,11/1/99,5414,11/7/18
11/7/18,12/1/99,5455,11/7/18
11/7/18,1/1/00,5232,11/7/18
11/7/18,2/1/00,5541,11/7/18
11/7/18,3/1/00,5635,11/7/18
11/7/18,4/1/00,5649,11/7/18
11/7/18,5/1/00,5757,11/7/18
