realtime_start,obs_date,revenue,realtime_end
11/7/18,1/1/92,10845,11/7/18
11/7/18,2/1/92,10904,11/7/18
11/7/18,3/1/92,10986,11/7/18
11/7/18,4/1/92,10738,11/7/18
11/7/18,5/1/92,10777,11/7/18
11/7/18,6/1/92,10790,11/7/18
11/7/18,7/1/92,10785,11/7/18
11/7/18,8/1/92,10915,11/7/18
11/7/18,9/1/92,10980,11/7/18
11/7/18,10/1/92,10971,11/7/18
11/7/18,11/1/92,10873,11/7/18
11/7/18,12/1/92,11082,11/7/18
11/7/18,1/1/93,11333,11/7/18
11/7/18,2/1/93,11410,11/7/18
11/7/18,3/1/93,11184,11/7/18
11/7/18,4/1/93,11417,11/7/18
11/7/18,5/1/93,11720,11/7/18
11/7/18,6/1/93,11669,11/7/18
11/7/18,7/1/93,11781,11/7/18
11/7/18,8/1/93,11875,11/7/18
11/7/18,9/1/93,11786,11/7/18
11/7/18,10/1/93,11908,11/7/18
11/7/18,11/1/93,12297,11/7/18
11/7/18,12/1/93,12583,11/7/18
11/7/18,1/1/94,12316,11/7/18
11/7/18,2/1/94,12233,11/7/18
11/7/18,3/1/94,12767,11/7/18
11/7/18,4/1/94,13076,11/7/18
11/7/18,5/1/94,13033,11/7/18
11/7/18,6/1/94,12987,11/7/18
11/7/18,7/1/94,13130,11/7/18
11/7/18,8/1/94,13224,11/7/18
11/7/18,9/1/94,13375,11/7/18
11/7/18,10/1/94,13550,11/7/18
11/7/18,11/1/94,13384,11/7/18
11/7/18,12/1/94,13981,11/7/18
11/7/18,1/1/95,13738,11/7/18
11/7/18,2/1/95,13613,11/7/18
11/7/18,3/1/95,13587,11/7/18
11/7/18,4/1/95,13415,11/7/18
11/7/18,5/1/95,13370,11/7/18
11/7/18,6/1/95,13548,11/7/18
11/7/18,7/1/95,13645,11/7/18
11/7/18,8/1/95,13683,11/7/18
11/7/18,9/1/95,13837,11/7/18
11/7/18,10/1/95,13932,11/7/18
11/7/18,11/1/95,14092,11/7/18
11/7/18,12/1/95,14683,11/7/18
11/7/18,1/1/96,14023,11/7/18
11/7/18,2/1/96,14036,11/7/18
11/7/18,3/1/96,14153,11/7/18
