realtime_start,obs_date,revenue,realtime_end
11/7/18,1/1/92,6938,11/7/18
11/7/18,2/1/92,7524,11/7/18
11/7/18,3/1/92,8475,11/7/18
11/7/18,4/1/92,9401,11/7/18
11/7/18,5/1/92,9558,11/7/18
11/7/18,6/1/92,9182,11/7/18
11/7/18,7/1/92,9103,11/7/18
11/7/18,8/1/92,10513,11/7/18
11/7/18,9/1/92,9573,11/7/18
11/7/18,10/1/92,10254,11/7/18
11/7/18,11/1/92,11187,11/7/18
11/7/18,12/1/92,18395,11/7/18
11/7/18,1/1/93,7502,11/7/18
11/7/18,2/1/93,7524,11/7/18
11/7/18,3/1/93,8766,11/7/18
11/7/18,4/1/93,9867,11/7/18
11/7/18,5/1/93,10063,11/7/18
11/7/18,6/1/93,9635,11/7/18
11/7/18,7/1/93,9794,11/7/18
11/7/18,8/1/93,10628,11/7/18
11/7/18,9/1/93,10013,11/7/18
11/7/18,10/1/93,10346,11/7/18
11/7/18,11/1/93,11760,11/7/18
11/7/18,12/1/93,18851,11/7/18
11/7/18,1/1/94,7280,11/7/18
11/7/18,2/1/94,7902,11/7/18
11/7/18,3/1/94,9921,11/7/18
11/7/18,4/1/94,9869,11/7/18
11/7/18,5/1/94,10009,11/7/18
11/7/18,6/1/94,9893,11/7/18
11/7/18,7/1/94,9735,11/7/18
11/7/18,8/1/94,11157,11/7/18
11/7/18,9/1/94,10217,11/7/18
11/7/18,10/1/94,10730,11/7/18
11/7/18,11/1/94,12354,11/7/18
11/7/18,12/1/94,20016,11/7/18
11/7/18,1/1/95,7518,11/7/18
11/7/18,2/1/95,7961,11/7/18
11/7/18,3/1/95,9815,11/7/18
11/7/18,4/1/95,10168,11/7/18
11/7/18,5/1/95,10620,11/7/18
11/7/18,6/1/95,10301,11/7/18
11/7/18,7/1/95,9784,11/7/18
11/7/18,8/1/95,11264,11/7/18
11/7/18,9/1/95,10710,11/7/18
11/7/18,10/1/95,10439,11/7/18
11/7/18,11/1/95,12751,11/7/18
11/7/18,12/1/95,20002,11/7/18
11/7/18,1/1/96,7684,11/7/18
11/7/18,2/1/96,8991,11/7/18
11/7/18,3/1/96,10349,11/7/18
11/7/18,4/1/96,10570,11/7/18
11/7/18,5/1/96,11405,11/7/18
11/7/18,6/1/96,10554,11/7/18
11/7/18,7/1/96,10202,11/7/18
11/7/18,8/1/96,12134,11/7/18
11/7/18,9/1/96,10623,11/7/18
11/7/18,10/1/96,11250,11/7/18
11/7/18,11/1/96,12875,11/7/18
11/7/18,12/1/96,19944,11/7/18
11/7/18,1/1/97,8194,11/7/18
11/7/18,2/1/97,8835,11/7/18
11/7/18,3/1/97,10840,11/7/18
11/7/18,4/1/97,10131,11/7/18
11/7/18,5/1/97,11505,11/7/18
11/7/18,6/1/97,10654,11/7/18
11/7/18,7/1/97,10734,11/7/18
11/7/18,8/1/97,12461,11/7/18
11/7/18,9/1/97,10942,11/7/18
11/7/18,10/1/97,11635,11/7/18
11/7/18,11/1/97,13244,11/7/18
11/7/18,12/1/97,21118,11/7/18
11/7/18,1/1/98,8800,11/7/18
11/7/18,2/1/98,9499,11/7/18
11/7/18,3/1/98,10863,11/7/18
11/7/18,4/1/98,11825,11/7/18
11/7/18,5/1/98,12239,11/7/18
11/7/18,6/1/98,11451,11/7/18
11/7/18,7/1/98,11633,11/7/18
11/7/18,8/1/98,12971,11/7/18
11/7/18,9/1/98,11214,11/7/18
11/7/18,10/1/98,12384,11/7/18
11/7/18,11/1/98,13854,11/7/18
11/7/18,12/1/98,22418,11/7/18
11/7/18,1/1/99,9237,11/7/18
11/7/18,2/1/99,10171,11/7/18
11/7/18,3/1/99,12081,11/7/18
11/7/18,4/1/99,12386,11/7/18
11/7/18,5/1/99,13167,11/7/18
11/7/18,6/1/99,12280,11/7/18
11/7/18,7/1/99,12461,11/7/18
11/7/18,8/1/99,13734,11/7/18
11/7/18,9/1/99,12357,11/7/18
11/7/18,10/1/99,12948,11/7/18
11/7/18,11/1/99,14643,11/7/18
11/7/18,12/1/99,24286,11/7/18
11/7/18,1/1/00,9447,11/7/18
11/7/18,2/1/00,11170,11/7/18
11/7/18,3/1/00,12841,11/7/18
11/7/18,4/1/00,13124,11/7/18
11/7/18,5/1/00,13735,11/7/18
11/7/18,6/1/00,12953,11/7/18
11/7/18,7/1/00,12500,11/7/18
11/7/18,8/1/00,14610,11/7/18
11/7/18,9/1/00,13375,11/7/18
11/7/18,10/1/00,13369,11/7/18
11/7/18,11/1/00,15675,11/7/18
11/7/18,12/1/00,24875,11/7/18
11/7/18,1/1/01,10060,11/7/18
11/7/18,2/1/01,11450,11/7/18
11/7/18,3/1/01,13067,11/7/18
11/7/18,4/1/01,13362,11/7/18
11/7/18,5/1/01,13787,11/7/18
