realtime_start,obs_date,revenue,realtime_end
11/7/18,1/1/92,14134,11/7/18
11/7/18,2/1/92,14472,11/7/18
11/7/18,3/1/92,14543,11/7/18
11/7/18,4/1/92,14529,11/7/18
11/7/18,5/1/92,14634,11/7/18
11/7/18,6/1/92,14597,11/7/18
11/7/18,7/1/92,14469,11/7/18
11/7/18,8/1/92,14729,11/7/18
11/7/18,9/1/92,14816,11/7/18
11/7/18,10/1/92,14870,11/7/18
11/7/18,11/1/92,14994,11/7/18
11/7/18,12/1/92,15310,11/7/18
11/7/18,1/1/93,15334,11/7/18
11/7/18,2/1/93,15119,11/7/18
11/7/18,3/1/93,14985,11/7/18
11/7/18,4/1/93,15406,11/7/18
11/7/18,5/1/93,15523,11/7/18
11/7/18,6/1/93,15517,11/7/18
11/7/18,7/1/93,15757,11/7/18
11/7/18,8/1/93,15775,11/7/18
11/7/18,9/1/93,15785,11/7/18
11/7/18,10/1/93,15985,11/7/18
11/7/18,11/1/93,15987,11/7/18
11/7/18,12/1/93,15988,11/7/18
11/7/18,1/1/94,16036,11/7/18
11/7/18,2/1/94,16203,11/7/18
11/7/18,3/1/94,16663,11/7/18
11/7/18,4/1/94,16337,11/7/18
11/7/18,5/1/94,16301,11/7/18
11/7/18,6/1/94,16478,11/7/18
11/7/18,7/1/94,16543,11/7/18
11/7/18,8/1/94,16635,11/7/18
11/7/18,9/1/94,16676,11/7/18
11/7/18,10/1/94,16796,11/7/18
11/7/18,11/1/94,16866,11/7/18
11/7/18,12/1/94,16949,11/7/18
11/7/18,1/1/95,17205,11/7/18
11/7/18,2/1/95,16680,11/7/18
11/7/18,3/1/95,16904,11/7/18
11/7/18,4/1/95,16985,11/7/18
11/7/18,5/1/95,16997,11/7/18
11/7/18,6/1/95,17269,11/7/18
11/7/18,7/1/95,17487,11/7/18
11/7/18,8/1/95,17231,11/7/18
11/7/18,9/1/95,17440,11/7/18
11/7/18,10/1/95,17188,11/7/18
11/7/18,11/1/95,17283,11/7/18
11/7/18,12/1/95,17332,11/7/18
11/7/18,1/1/96,17082,11/7/18
11/7/18,2/1/96,17336,11/7/18
11/7/18,3/1/96,17248,11/7/18
11/7/18,4/1/96,17675,11/7/18
11/7/18,5/1/96,17624,11/7/18
11/7/18,6/1/96,17544,11/7/18
11/7/18,7/1/96,17581,11/7/18
11/7/18,8/1/96,17737,11/7/18
11/7/18,9/1/96,17866,11/7/18
11/7/18,10/1/96,18017,11/7/18
11/7/18,11/1/96,17970,11/7/18
11/7/18,12/1/96,18117,11/7/18
11/7/18,1/1/97,18138,11/7/18
11/7/18,2/1/97,18185,11/7/18
11/7/18,3/1/97,18238,11/7/18
11/7/18,4/1/97,18096,11/7/18
11/7/18,5/1/97,18194,11/7/18
11/7/18,6/1/97,18276,11/7/18
11/7/18,7/1/97,18529,11/7/18
11/7/18,8/1/97,18556,11/7/18
11/7/18,9/1/97,18446,11/7/18
11/7/18,10/1/97,18580,11/7/18
11/7/18,11/1/97,18652,11/7/18
11/7/18,12/1/97,18427,11/7/18
11/7/18,1/1/98,18474,11/7/18
11/7/18,2/1/98,18698,11/7/18
11/7/18,3/1/98,18529,11/7/18
11/7/18,4/1/98,18649,11/7/18
