realtime_start,obs_date,revenue,realtime_end
11/7/18,1/1/92,3874,11/7/18
11/7/18,2/1/92,3904,11/7/18
11/7/18,3/1/92,3916,11/7/18
11/7/18,4/1/92,3958,11/7/18
11/7/18,5/1/92,3981,11/7/18
11/7/18,6/1/92,3992,11/7/18
11/7/18,7/1/92,4081,11/7/18
11/7/18,8/1/92,4048,11/7/18
11/7/18,9/1/92,4098,11/7/18
11/7/18,10/1/92,4186,11/7/18
11/7/18,11/1/92,4118,11/7/18
11/7/18,12/1/92,4248,11/7/18
11/7/18,1/1/93,4395,11/7/18
11/7/18,2/1/93,4343,11/7/18
11/7/18,3/1/93,4383,11/7/18
11/7/18,4/1/93,4460,11/7/18
11/7/18,5/1/93,4485,11/7/18
11/7/18,6/1/93,4567,11/7/18
11/7/18,7/1/93,4642,11/7/18
11/7/18,8/1/93,4667,11/7/18
11/7/18,9/1/93,4729,11/7/18
11/7/18,10/1/93,4710,11/7/18
11/7/18,11/1/93,4741,11/7/18
11/7/18,12/1/93,4794,11/7/18
11/7/18,1/1/94,4837,11/7/18
11/7/18,2/1/94,4949,11/7/18
11/7/18,3/1/94,5052,11/7/18
11/7/18,4/1/94,5090,11/7/18
11/7/18,5/1/94,5185,11/7/18
11/7/18,6/1/94,5313,11/7/18
11/7/18,7/1/94,5330,11/7/18
11/7/18,8/1/94,5411,11/7/18
11/7/18,9/1/94,5508,11/7/18
11/7/18,10/1/94,5635,11/7/18
11/7/18,11/1/94,5753,11/7/18
11/7/18,12/1/94,5834,11/7/18
11/7/18,1/1/95,5892,11/7/18
11/7/18,2/1/95,5827,11/7/18
11/7/18,3/1/95,5849,11/7/18
11/7/18,4/1/95,5733,11/7/18
11/7/18,5/1/95,5956,11/7/18
11/7/18,6/1/95,6000,11/7/18
11/7/18,7/1/95,5965,11/7/18
11/7/18,8/1/95,6159,11/7/18
11/7/18,9/1/95,6141,11/7/18
11/7/18,10/1/95,6212,11/7/18
11/7/18,11/1/95,6263,11/7/18
11/7/18,12/1/95,6281,11/7/18
11/7/18,1/1/96,6191,11/7/18
11/7/18,2/1/96,6248,11/7/18
11/7/18,3/1/96,6365,11/7/18
11/7/18,4/1/96,6373,11/7/18
11/7/18,5/1/96,6428,11/7/18
11/7/18,6/1/96,6334,11/7/18
11/7/18,7/1/96,6234,11/7/18
11/7/18,8/1/96,6340,11/7/18
11/7/18,9/1/96,6438,11/7/18
11/7/18,10/1/96,6428,11/7/18
11/7/18,11/1/96,6356,11/7/18
11/7/18,12/1/96,6305,11/7/18
11/7/18,1/1/97,6128,11/7/18
11/7/18,2/1/97,6370,11/7/18
11/7/18,3/1/97,6360,11/7/18
11/7/18,4/1/97,6456,11/7/18
11/7/18,5/1/97,6400,11/7/18
11/7/18,6/1/97,6440,11/7/18
11/7/18,7/1/97,6525,11/7/18
11/7/18,8/1/97,6541,11/7/18
11/7/18,9/1/97,6559,11/7/18
11/7/18,10/1/97,6572,11/7/18
11/7/18,11/1/97,6628,11/7/18
11/7/18,12/1/97,6659,11/7/18
11/7/18,1/1/98,6776,11/7/18
11/7/18,2/1/98,6797,11/7/18
11/7/18,3/1/98,6788,11/7/18
11/7/18,4/1/98,6766,11/7/18
11/7/18,5/1/98,6829,11/7/18
11/7/18,6/1/98,6921,11/7/18
11/7/18,7/1/98,6960,11/7/18
11/7/18,8/1/98,7047,11/7/18
11/7/18,9/1/98,6954,11/7/18
11/7/18,10/1/98,6940,11/7/18
11/7/18,11/1/98,7000,11/7/18
11/7/18,12/1/98,6964,11/7/18
11/7/18,1/1/99,7000,11/7/18
11/7/18,2/1/99,7024,11/7/18
11/7/18,3/1/99,7116,11/7/18
11/7/18,4/1/99,7195,11/7/18
11/7/18,5/1/99,7230,11/7/18
11/7/18,6/1/99,7286,11/7/18
11/7/18,7/1/99,7378,11/7/18
11/7/18,8/1/99,7281,11/7/18
11/7/18,9/1/99,7410,11/7/18
11/7/18,10/1/99,7400,11/7/18
11/7/18,11/1/99,7350,11/7/18
11/7/18,12/1/99,7498,11/7/18
11/7/18,1/1/00,7605,11/7/18
11/7/18,2/1/00,7674,11/7/18
11/7/18,3/1/00,7652,11/7/18
11/7/18,4/1/00,7813,11/7/18
11/7/18,5/1/00,7611,11/7/18
11/7/18,6/1/00,7435,11/7/18
11/7/18,7/1/00,7397,11/7/18
11/7/18,8/1/00,7440,11/7/18
11/7/18,9/1/00,7588,11/7/18
11/7/18,10/1/00,7416,11/7/18
11/7/18,11/1/00,7392,11/7/18
11/7/18,12/1/00,7346,11/7/18
11/7/18,1/1/01,7376,11/7/18
11/7/18,2/1/01,7334,11/7/18
11/7/18,3/1/01,7267,11/7/18
11/7/18,4/1/01,7212,11/7/18
11/7/18,5/1/01,7135,11/7/18
11/7/18,6/1/01,7246,11/7/18
11/7/18,7/1/01,7298,11/7/18
11/7/18,8/1/01,7276,11/7/18
11/7/18,9/1/01,7141,11/7/18
11/7/18,10/1/01,7237,11/7/18
11/7/18,11/1/01,7662,11/7/18
11/7/18,12/1/01,7825,11/7/18
11/7/18,1/1/02,7604,11/7/18
11/7/18,2/1/02,7643,11/7/18
11/7/18,3/1/02,7690,11/7/18
11/7/18,4/1/02,7616,11/7/18
11/7/18,5/1/02,7678,11/7/18
11/7/18,6/1/02,7656,11/7/18
11/7/18,7/1/02,7543,11/7/18
11/7/18,8/1/02,7520,11/7/18
11/7/18,9/1/02,7511,11/7/18
11/7/18,10/1/02,7522,11/7/18
11/7/18,11/1/02,7545,11/7/18
11/7/18,12/1/02,7660,11/7/18
11/7/18,1/1/03,7439,11/7/18
11/7/18,2/1/03,7354,11/7/18
11/7/18,3/1/03,7364,11/7/18
11/7/18,4/1/03,7440,11/7/18
11/7/18,5/1/03,7563,11/7/18
11/7/18,6/1/03,7650,11/7/18
11/7/18,7/1/03,7731,11/7/18
11/7/18,8/1/03,7914,11/7/18
11/7/18,9/1/03,7909,11/7/18
11/7/18,10/1/03,7984,11/7/18
11/7/18,11/1/03,8030,11/7/18
11/7/18,12/1/03,8127,11/7/18
11/7/18,1/1/04,8104,11/7/18
11/7/18,2/1/04,8080,11/7/18
11/7/18,3/1/04,8117,11/7/18
11/7/18,4/1/04,8218,11/7/18
11/7/18,5/1/04,8241,11/7/18
11/7/18,6/1/04,8297,11/7/18
11/7/18,7/1/04,8337,11/7/18
11/7/18,8/1/04,8335,11/7/18
11/7/18,9/1/04,8422,11/7/18
11/7/18,10/1/04,8494,11/7/18
11/7/18,11/1/04,8479,11/7/18
11/7/18,12/1/04,8513,11/7/18
11/7/18,1/1/05,8555,11/7/18
11/7/18,2/1/05,8765,11/7/18
11/7/18,3/1/05,8784,11/7/18
11/7/18,4/1/05,8820,11/7/18
11/7/18,5/1/05,8775,11/7/18
11/7/18,6/1/05,8828,11/7/18
11/7/18,7/1/05,8877,11/7/18
11/7/18,8/1/05,8868,11/7/18
11/7/18,9/1/05,8955,11/7/18
11/7/18,10/1/05,9047,11/7/18
11/7/18,11/1/05,8965,11/7/18
11/7/18,12/1/05,8889,11/7/18
11/7/18,1/1/06,9395,11/7/18
11/7/18,2/1/06,9101,11/7/18
11/7/18,3/1/06,9185,11/7/18
11/7/18,4/1/06,9165,11/7/18
11/7/18,5/1/06,9132,11/7/18
11/7/18,6/1/06,9130,11/7/18
11/7/18,7/1/06,9126,11/7/18
11/7/18,8/1/06,9124,11/7/18
11/7/18,9/1/06,9158,11/7/18
11/7/18,10/1/06,8953,11/7/18
11/7/18,11/1/06,9158,11/7/18
11/7/18,12/1/06,9478,11/7/18
11/7/18,1/1/07,9229,11/7/18
11/7/18,2/1/07,9123,11/7/18
11/7/18,3/1/07,9026,11/7/18
11/7/18,4/1/07,9008,11/7/18
11/7/18,5/1/07,9090,11/7/18
11/7/18,6/1/07,9023,11/7/18
11/7/18,7/1/07,9088,11/7/18
11/7/18,8/1/07,9274,11/7/18
11/7/18,9/1/07,9174,11/7/18
11/7/18,10/1/07,9293,11/7/18
11/7/18,11/1/07,9562,11/7/18
11/7/18,12/1/07,9368,11/7/18
11/7/18,1/1/08,9175,11/7/18
11/7/18,2/1/08,9196,11/7/18
11/7/18,3/1/08,9171,11/7/18
11/7/18,4/1/08,9286,11/7/18
11/7/18,5/1/08,9530,11/7/18
11/7/18,6/1/08,9305,11/7/18
11/7/18,7/1/08,9329,11/7/18
11/7/18,8/1/08,9201,11/7/18
11/7/18,9/1/08,8814,11/7/18
11/7/18,10/1/08,8732,11/7/18
11/7/18,11/1/08,8737,11/7/18
11/7/18,12/1/08,8351,11/7/18
11/7/18,1/1/09,8884,11/7/18
11/7/18,2/1/09,8844,11/7/18
11/7/18,3/1/09,8099,11/7/18
11/7/18,4/1/09,8049,11/7/18
11/7/18,5/1/09,8026,11/7/18
11/7/18,6/1/09,8039,11/7/18
11/7/18,7/1/09,7965,11/7/18
11/7/18,8/1/09,8000,11/7/18
11/7/18,9/1/09,7965,11/7/18
11/7/18,10/1/09,7920,11/7/18
11/7/18,11/1/09,8208,11/7/18
11/7/18,12/1/09,8068,11/7/18
11/7/18,1/1/10,8232,11/7/18
11/7/18,2/1/10,8482,11/7/18
11/7/18,3/1/10,8122,11/7/18
11/7/18,4/1/10,8289,11/7/18
11/7/18,5/1/10,8366,11/7/18
11/7/18,6/1/10,8492,11/7/18
11/7/18,7/1/10,8361,11/7/18
11/7/18,8/1/10,8329,11/7/18
11/7/18,9/1/10,8383,11/7/18
11/7/18,10/1/10,8265,11/7/18
11/7/18,11/1/10,8114,11/7/18
11/7/18,12/1/10,8285,11/7/18
11/7/18,1/1/11,8218,11/7/18
11/7/18,2/1/11,8347,11/7/18
11/7/18,3/1/11,8442,11/7/18
11/7/18,4/1/11,8529,11/7/18
11/7/18,5/1/11,8416,11/7/18
11/7/18,6/1/11,8430,11/7/18
11/7/18,7/1/11,8557,11/7/18
11/7/18,8/1/11,8615,11/7/18
11/7/18,9/1/11,8493,11/7/18
11/7/18,10/1/11,8795,11/7/18
11/7/18,11/1/11,8638,11/7/18
11/7/18,12/1/11,8462,11/7/18
11/7/18,1/1/12,8513,11/7/18
11/7/18,2/1/12,8529,11/7/18
11/7/18,3/1/12,8698,11/7/18
11/7/18,4/1/12,8559,11/7/18
11/7/18,5/1/12,8704,11/7/18
11/7/18,6/1/12,8668,11/7/18
11/7/18,7/1/12,8750,11/7/18
11/7/18,8/1/12,8656,11/7/18
11/7/18,9/1/12,8619,11/7/18
11/7/18,10/1/12,8350,11/7/18
11/7/18,11/1/12,8660,11/7/18
11/7/18,12/1/12,8800,11/7/18
11/7/18,1/1/13,8828,11/7/18
11/7/18,2/1/13,8904,11/7/18
11/7/18,3/1/13,8683,11/7/18
11/7/18,4/1/13,8731,11/7/18
11/7/18,5/1/13,8746,11/7/18
11/7/18,6/1/13,8750,11/7/18
11/7/18,7/1/13,8708,11/7/18
11/7/18,8/1/13,8710,11/7/18
11/7/18,9/1/13,8664,11/7/18
11/7/18,10/1/13,8761,11/7/18
11/7/18,11/1/13,8651,11/7/18
11/7/18,12/1/13,8614,11/7/18
11/7/18,1/1/14,8656,11/7/18
11/7/18,2/1/14,8677,11/7/18
11/7/18,3/1/14,8707,11/7/18
11/7/18,4/1/14,8706,11/7/18
11/7/18,5/1/14,8588,11/7/18
11/7/18,6/1/14,8516,11/7/18
11/7/18,7/1/14,8598,11/7/18
11/7/18,8/1/14,8693,11/7/18
11/7/18,9/1/14,8871,11/7/18
11/7/18,10/1/14,8845,11/7/18
11/7/18,11/1/14,9047,11/7/18
11/7/18,12/1/14,9019,11/7/18
11/7/18,1/1/15,8866,11/7/18
11/7/18,2/1/15,8708,11/7/18
11/7/18,3/1/15,8525,11/7/18
11/7/18,4/1/15,8650,11/7/18
11/7/18,5/1/15,8714,11/7/18
11/7/18,6/1/15,8820,11/7/18
11/7/18,7/1/15,8668,11/7/18
11/7/18,8/1/15,8670,11/7/18
11/7/18,9/1/15,8694,11/7/18
11/7/18,10/1/15,8622,11/7/18
11/7/18,11/1/15,8480,11/7/18
11/7/18,12/1/15,8453,11/7/18
