realtime_start,obs_date,revenue,realtime_end
11/7/18,1/1/92,30437,11/7/18
11/7/18,2/1/92,30382,11/7/18
11/7/18,3/1/92,30526,11/7/18
11/7/18,4/1/92,30602,11/7/18
11/7/18,5/1/92,30718,11/7/18
11/7/18,6/1/92,30761,11/7/18
11/7/18,7/1/92,30963,11/7/18
11/7/18,8/1/92,31041,11/7/18
11/7/18,9/1/92,30942,11/7/18
11/7/18,10/1/92,31148,11/7/18
11/7/18,11/1/92,30992,11/7/18
11/7/18,12/1/92,31057,11/7/18
11/7/18,1/1/93,31045,11/7/18
11/7/18,2/1/93,31233,11/7/18
11/7/18,3/1/93,31058,11/7/18
11/7/18,4/1/93,31129,11/7/18
11/7/18,5/1/93,31164,11/7/18
11/7/18,6/1/93,31168,11/7/18
11/7/18,7/1/93,31349,11/7/18
11/7/18,8/1/93,31126,11/7/18
11/7/18,9/1/93,31201,11/7/18
11/7/18,10/1/93,31346,11/7/18
11/7/18,11/1/93,31363,11/7/18
11/7/18,12/1/93,31499,11/7/18
11/7/18,1/1/94,31468,11/7/18
11/7/18,2/1/94,31688,11/7/18
11/7/18,3/1/94,31700,11/7/18
11/7/18,4/1/94,31899,11/7/18
11/7/18,5/1/94,31858,11/7/18
11/7/18,6/1/94,32123,11/7/18
11/7/18,7/1/94,31964,11/7/18
11/7/18,8/1/94,32222,11/7/18
11/7/18,9/1/94,32401,11/7/18
11/7/18,10/1/94,32196,11/7/18
11/7/18,11/1/94,32370,11/7/18
11/7/18,12/1/94,32294,11/7/18
11/7/18,1/1/95,32625,11/7/18
11/7/18,2/1/95,32399,11/7/18
11/7/18,3/1/95,32415,11/7/18
11/7/18,4/1/95,32312,11/7/18
11/7/18,5/1/95,32540,11/7/18
11/7/18,6/1/95,32597,11/7/18
11/7/18,7/1/95,32466,11/7/18
11/7/18,8/1/95,32547,11/7/18
11/7/18,9/1/95,32625,11/7/18
11/7/18,10/1/95,32578,11/7/18
11/7/18,11/1/95,32744,11/7/18
11/7/18,12/1/95,32903,11/7/18
11/7/18,1/1/96,33085,11/7/18
11/7/18,2/1/96,32928,11/7/18
11/7/18,3/1/96,33076,11/7/18
11/7/18,4/1/96,33174,11/7/18
11/7/18,5/1/96,33178,11/7/18
11/7/18,6/1/96,33281,11/7/18
11/7/18,7/1/96,33470,11/7/18
11/7/18,8/1/96,33542,11/7/18
11/7/18,9/1/96,33494,11/7/18
11/7/18,10/1/96,33704,11/7/18
11/7/18,11/1/96,33734,11/7/18
11/7/18,12/1/96,33819,11/7/18
11/7/18,1/1/97,34049,11/7/18
11/7/18,2/1/97,33989,11/7/18
11/7/18,3/1/97,34156,11/7/18
11/7/18,4/1/97,34056,11/7/18
11/7/18,5/1/97,33978,11/7/18
11/7/18,6/1/97,33892,11/7/18
11/7/18,7/1/97,34106,11/7/18
11/7/18,8/1/97,34256,11/7/18
11/7/18,9/1/97,34281,11/7/18
11/7/18,10/1/97,34348,11/7/18
11/7/18,11/1/97,34230,11/7/18
11/7/18,12/1/97,34190,11/7/18
11/7/18,1/1/98,34126,11/7/18
11/7/18,2/1/98,34102,11/7/18
11/7/18,3/1/98,34275,11/7/18
11/7/18,4/1/98,34374,11/7/18
11/7/18,5/1/98,34534,11/7/18
11/7/18,6/1/98,34592,11/7/18
11/7/18,7/1/98,34856,11/7/18
11/7/18,8/1/98,34950,11/7/18
11/7/18,9/1/98,34916,11/7/18
11/7/18,10/1/98,35093,11/7/18
11/7/18,11/1/98,35140,11/7/18
11/7/18,12/1/98,35533,11/7/18
11/7/18,1/1/99,35447,11/7/18
11/7/18,2/1/99,35707,11/7/18
11/7/18,3/1/99,35652,11/7/18
11/7/18,4/1/99,36013,11/7/18
11/7/18,5/1/99,36060,11/7/18
11/7/18,6/1/99,35872,11/7/18
11/7/18,7/1/99,36126,11/7/18
11/7/18,8/1/99,36117,11/7/18
11/7/18,9/1/99,36411,11/7/18
11/7/18,10/1/99,36271,11/7/18
11/7/18,11/1/99,36300,11/7/18
11/7/18,12/1/99,37665,11/7/18
11/7/18,1/1/00,35613,11/7/18
11/7/18,2/1/00,35980,11/7/18
11/7/18,3/1/00,36559,11/7/18
11/7/18,4/1/00,37008,11/7/18
11/7/18,5/1/00,36717,11/7/18
11/7/18,6/1/00,37175,11/7/18
11/7/18,7/1/00,37038,11/7/18
11/7/18,8/1/00,37110,11/7/18
11/7/18,9/1/00,37308,11/7/18
11/7/18,10/1/00,37476,11/7/18
11/7/18,11/1/00,37700,11/7/18
11/7/18,12/1/00,38033,11/7/18
11/7/18,1/1/01,37903,11/7/18
11/7/18,2/1/01,38252,11/7/18
11/7/18,3/1/01,38133,11/7/18
11/7/18,4/1/01,38369,11/7/18
11/7/18,5/1/01,38439,11/7/18
11/7/18,6/1/01,38569,11/7/18
11/7/18,7/1/01,38506,11/7/18
11/7/18,8/1/01,38738,11/7/18
11/7/18,9/1/01,38832,11/7/18
11/7/18,10/1/01,38944,11/7/18
11/7/18,11/1/01,39161,11/7/18
11/7/18,12/1/01,38996,11/7/18
11/7/18,1/1/02,38833,11/7/18
11/7/18,2/1/02,38885,11/7/18
11/7/18,3/1/02,38913,11/7/18
11/7/18,4/1/02,38568,11/7/18
11/7/18,5/1/02,38713,11/7/18
11/7/18,6/1/02,38723,11/7/18
11/7/18,7/1/02,38834,11/7/18
11/7/18,8/1/02,38647,11/7/18
11/7/18,9/1/02,38599,11/7/18
11/7/18,10/1/02,38693,11/7/18
11/7/18,11/1/02,38886,11/7/18
11/7/18,12/1/02,39072,11/7/18
11/7/18,1/1/03,39412,11/7/18
11/7/18,2/1/03,39285,11/7/18
11/7/18,3/1/03,39318,11/7/18
11/7/18,4/1/03,39441,11/7/18
11/7/18,5/1/03,39019,11/7/18
11/7/18,6/1/03,39480,11/7/18
11/7/18,7/1/03,39808,11/7/18
11/7/18,8/1/03,39833,11/7/18
11/7/18,9/1/03,39878,11/7/18
11/7/18,10/1/03,39776,11/7/18
11/7/18,11/1/03,39631,11/7/18
11/7/18,12/1/03,39809,11/7/18
11/7/18,1/1/04,40443,11/7/18
