realtime_start,obs_date,revenue,realtime_end
11/7/18,1/1/92,15693,11/7/18
11/7/18,2/1/92,15835,11/7/18
11/7/18,3/1/92,16848,11/7/18
11/7/18,4/1/92,16494,11/7/18
11/7/18,5/1/92,17648,11/7/18
11/7/18,6/1/92,16814,11/7/18
11/7/18,7/1/92,17304,11/7/18
11/7/18,8/1/92,17888,11/7/18
11/7/18,9/1/92,16459,11/7/18
11/7/18,10/1/92,17668,11/7/18
11/7/18,11/1/92,16723,11/7/18
11/7/18,12/1/92,17491,11/7/18
11/7/18,1/1/93,16201,11/7/18
11/7/18,2/1/93,15625,11/7/18
11/7/18,3/1/93,17414,11/7/18
11/7/18,4/1/93,17841,11/7/18
11/7/18,5/1/93,18712,11/7/18
11/7/18,6/1/93,18571,11/7/18
11/7/18,7/1/93,19092,11/7/18
11/7/18,8/1/93,19329,11/7/18
11/7/18,9/1/93,18108,11/7/18
11/7/18,10/1/93,18745,11/7/18
11/7/18,11/1/93,17463,11/7/18
11/7/18,12/1/93,18366,11/7/18
11/7/18,1/1/94,16073,11/7/18
11/7/18,2/1/94,16509,11/7/18
11/7/18,3/1/94,18757,11/7/18
11/7/18,4/1/94,18774,11/7/18
11/7/18,5/1/94,19400,11/7/18
11/7/18,6/1/94,19437,11/7/18
11/7/18,7/1/94,20157,11/7/18
11/7/18,8/1/94,19943,11/7/18
11/7/18,9/1/94,18826,11/7/18
11/7/18,10/1/94,19314,11/7/18
11/7/18,11/1/94,18248,11/7/18
11/7/18,12/1/94,19562,11/7/18
11/7/18,1/1/95,17340,11/7/18
11/7/18,2/1/95,16982,11/7/18
11/7/18,3/1/95,19369,11/7/18
11/7/18,4/1/95,19404,11/7/18
11/7/18,5/1/95,20209,11/7/18
11/7/18,6/1/95,20235,11/7/18
11/7/18,7/1/95,20502,11/7/18
11/7/18,8/1/95,20878,11/7/18
11/7/18,9/1/95,19601,11/7/18
11/7/18,10/1/95,19768,11/7/18
11/7/18,11/1/95,18785,11/7/18
11/7/18,12/1/95,19939,11/7/18
11/7/18,1/1/96,17647,11/7/18
11/7/18,2/1/96,18439,11/7/18
11/7/18,3/1/96,20259,11/7/18
11/7/18,4/1/96,19832,11/7/18
11/7/18,5/1/96,21139,11/7/18
11/7/18,6/1/96,20669,11/7/18
11/7/18,7/1/96,20971,11/7/18
11/7/18,8/1/96,21792,11/7/18
11/7/18,9/1/96,19826,11/7/18
11/7/18,10/1/96,20736,11/7/18
11/7/18,11/1/96,20332,11/7/18
11/7/18,12/1/96,20603,11/7/18
11/7/18,1/1/97,19316,11/7/18
11/7/18,2/1/97,19128,11/7/18
11/7/18,3/1/97,21383,11/7/18
11/7/18,4/1/97,21110,11/7/18
11/7/18,5/1/97,22674,11/7/18
11/7/18,6/1/97,21874,11/7/18
11/7/18,7/1/97,22665,11/7/18
11/7/18,8/1/97,23300,11/7/18
11/7/18,9/1/97,21392,11/7/18
11/7/18,10/1/97,22106,11/7/18
11/7/18,11/1/97,20751,11/7/18
11/7/18,12/1/97,21665,11/7/18
11/7/18,1/1/98,20408,11/7/18
11/7/18,2/1/98,20096,11/7/18
11/7/18,3/1/98,22340,11/7/18
11/7/18,4/1/98,22241,11/7/18
11/7/18,5/1/98,23872,11/7/18
11/7/18,6/1/98,23200,11/7/18
11/7/18,7/1/98,23744,11/7/18
11/7/18,8/1/98,23857,11/7/18
11/7/18,9/1/98,22328,11/7/18
11/7/18,10/1/98,23735,11/7/18
11/7/18,11/1/98,22022,11/7/18
11/7/18,12/1/98,23351,11/7/18
11/7/18,1/1/99,21316,11/7/18
11/7/18,2/1/99,21199,11/7/18
11/7/18,3/1/99,23320,11/7/18
11/7/18,4/1/99,23674,11/7/18
11/7/18,5/1/99,24651,11/7/18
11/7/18,6/1/99,24088,11/7/18
11/7/18,7/1/99,25059,11/7/18
11/7/18,8/1/99,24611,11/7/18
11/7/18,9/1/99,23240,11/7/18
11/7/18,10/1/99,24847,11/7/18
11/7/18,11/1/99,23249,11/7/18
11/7/18,12/1/99,24646,11/7/18
11/7/18,1/1/00,22713,11/7/18
11/7/18,2/1/00,23493,11/7/18
11/7/18,3/1/00,25798,11/7/18
11/7/18,4/1/00,25366,11/7/18
11/7/18,5/1/00,26125,11/7/18
11/7/18,6/1/00,26222,11/7/18
11/7/18,7/1/00,26701,11/7/18
11/7/18,8/1/00,26457,11/7/18
11/7/18,9/1/00,25531,11/7/18
11/7/18,10/1/00,25732,11/7/18
11/7/18,11/1/00,24362,11/7/18
11/7/18,12/1/00,25761,11/7/18
11/7/18,1/1/01,23955,11/7/18
11/7/18,2/1/01,23801,11/7/18
11/7/18,3/1/01,27010,11/7/18
11/7/18,4/1/01,25863,11/7/18
11/7/18,5/1/01,27355,11/7/18
11/7/18,6/1/01,27566,11/7/18
11/7/18,7/1/01,27594,11/7/18
11/7/18,8/1/01,28303,11/7/18
11/7/18,9/1/01,25714,11/7/18
11/7/18,10/1/01,26408,11/7/18
11/7/18,11/1/01,25533,11/7/18
11/7/18,12/1/01,27536,11/7/18
11/7/18,1/1/02,25052,11/7/18
11/7/18,2/1/02,25002,11/7/18
11/7/18,3/1/02,28128,11/7/18
11/7/18,4/1/02,27390,11/7/18
11/7/18,5/1/02,28720,11/7/18
11/7/18,6/1/02,28469,11/7/18
11/7/18,7/1/02,28638,11/7/18
11/7/18,8/1/02,29540,11/7/18
11/7/18,9/1/02,26839,11/7/18
11/7/18,10/1/02,27595,11/7/18
11/7/18,11/1/02,26967,11/7/18
11/7/18,12/1/02,28185,11/7/18
11/7/18,1/1/03,26057,11/7/18
11/7/18,2/1/03,25573,11/7/18
11/7/18,3/1/03,29161,11/7/18
11/7/18,4/1/03,28261,11/7/18
11/7/18,5/1/03,30907,11/7/18
11/7/18,6/1/03,29756,11/7/18
11/7/18,7/1/03,30600,11/7/18
11/7/18,8/1/03,31844,11/7/18
11/7/18,9/1/03,28559,11/7/18
11/7/18,10/1/03,30255,11/7/18
11/7/18,11/1/03,28869,11/7/18
11/7/18,12/1/03,29884,11/7/18
11/7/18,1/1/04,28642,11/7/18
11/7/18,2/1/04,28755,11/7/18
11/7/18,3/1/04,31133,11/7/18
11/7/18,4/1/04,30866,11/7/18
11/7/18,5/1/04,32155,11/7/18
11/7/18,6/1/04,31380,11/7/18
11/7/18,7/1/04,33125,11/7/18
11/7/18,8/1/04,32184,11/7/18
11/7/18,9/1/04,30550,11/7/18
11/7/18,10/1/04,32258,11/7/18
11/7/18,11/1/04,29981,11/7/18
11/7/18,12/1/04,32528,11/7/18
11/7/18,1/1/05,29792,11/7/18
11/7/18,2/1/05,29742,11/7/18
11/7/18,3/1/05,32757,11/7/18
11/7/18,4/1/05,33578,11/7/18
11/7/18,5/1/05,34056,11/7/18
11/7/18,6/1/05,33570,11/7/18
11/7/18,7/1/05,34940,11/7/18
11/7/18,8/1/05,34292,11/7/18
11/7/18,9/1/05,32850,11/7/18
11/7/18,10/1/05,33921,11/7/18
11/7/18,11/1/05,32083,11/7/18
11/7/18,12/1/05,34882,11/7/18
11/7/18,1/1/06,32394,11/7/18
11/7/18,2/1/06,31634,11/7/18
11/7/18,3/1/06,35840,11/7/18
11/7/18,4/1/06,35141,11/7/18
11/7/18,5/1/06,36167,11/7/18
11/7/18,6/1/06,35771,11/7/18
11/7/18,7/1/06,36298,11/7/18
11/7/18,8/1/06,36640,11/7/18
11/7/18,9/1/06,35439,11/7/18
11/7/18,10/1/06,35820,11/7/18
11/7/18,11/1/06,33839,11/7/18
11/7/18,12/1/06,37803,11/7/18
11/7/18,1/1/07,33593,11/7/18
11/7/18,2/1/07,33097,11/7/18
11/7/18,3/1/07,38225,11/7/18
11/7/18,4/1/07,36554,11/7/18
11/7/18,5/1/07,38311,11/7/18
11/7/18,6/1/07,38450,11/7/18
11/7/18,7/1/07,38539,11/7/18
11/7/18,8/1/07,38825,11/7/18
11/7/18,9/1/07,36791,11/7/18
11/7/18,10/1/07,37608,11/7/18
11/7/18,11/1/07,35954,11/7/18
11/7/18,12/1/07,38604,11/7/18
11/7/18,1/1/08,35063,11/7/18
11/7/18,2/1/08,35722,11/7/18
11/7/18,3/1/08,38491,11/7/18
11/7/18,4/1/08,37918,11/7/18
