realtime_start,obs_date,revenue,realtime_end
11/7/18,1/1/92,3846,11/7/18
11/7/18,2/1/92,3908,11/7/18
11/7/18,3/1/92,4157,11/7/18
11/7/18,4/1/92,4141,11/7/18
11/7/18,5/1/92,4275,11/7/18
11/7/18,6/1/92,4357,11/7/18
11/7/18,7/1/92,4407,11/7/18
11/7/18,8/1/92,4446,11/7/18
11/7/18,9/1/92,4328,11/7/18
11/7/18,10/1/92,4497,11/7/18
11/7/18,11/1/92,4687,11/7/18
11/7/18,12/1/92,5287,11/7/18
11/7/18,1/1/93,4104,11/7/18
11/7/18,2/1/93,3908,11/7/18
11/7/18,3/1/93,4369,11/7/18
11/7/18,4/1/93,4372,11/7/18
11/7/18,5/1/93,4535,11/7/18
11/7/18,6/1/93,4568,11/7/18
11/7/18,7/1/93,4682,11/7/18
11/7/18,8/1/93,4733,11/7/18
11/7/18,9/1/93,4621,11/7/18
11/7/18,10/1/93,4775,11/7/18
11/7/18,11/1/93,5158,11/7/18
11/7/18,12/1/93,5631,11/7/18
11/7/18,1/1/94,4018,11/7/18
11/7/18,2/1/94,4140,11/7/18
11/7/18,3/1/94,4827,11/7/18
11/7/18,4/1/94,4700,11/7/18
11/7/18,5/1/94,4867,11/7/18
11/7/18,6/1/94,4958,11/7/18
11/7/18,7/1/94,4980,11/7/18
11/7/18,8/1/94,5356,11/7/18
11/7/18,9/1/94,5203,11/7/18
11/7/18,10/1/94,5328,11/7/18
11/7/18,11/1/94,5734,11/7/18
11/7/18,12/1/94,6305,11/7/18
11/7/18,1/1/95,4649,11/7/18
11/7/18,2/1/95,4410,11/7/18
11/7/18,3/1/95,5084,11/7/18
11/7/18,4/1/95,4818,11/7/18
11/7/18,5/1/95,5195,11/7/18
11/7/18,6/1/95,5196,11/7/18
11/7/18,7/1/95,5190,11/7/18
11/7/18,8/1/95,5506,11/7/18
11/7/18,9/1/95,5418,11/7/18
11/7/18,10/1/95,5505,11/7/18
11/7/18,11/1/95,6090,11/7/18
11/7/18,12/1/95,6409,11/7/18
11/7/18,1/1/96,4788,11/7/18
11/7/18,2/1/96,4833,11/7/18
11/7/18,3/1/96,5410,11/7/18
11/7/18,4/1/96,5310,11/7/18
11/7/18,5/1/96,5603,11/7/18
11/7/18,6/1/96,5479,11/7/18
11/7/18,7/1/96,5673,11/7/18
11/7/18,8/1/96,5893,11/7/18
11/7/18,9/1/96,5589,11/7/18
11/7/18,10/1/96,5970,11/7/18
11/7/18,11/1/96,6425,11/7/18
11/7/18,12/1/96,6734,11/7/18
11/7/18,1/1/97,5311,11/7/18
11/7/18,2/1/97,5116,11/7/18
11/7/18,3/1/97,5715,11/7/18
11/7/18,4/1/97,5670,11/7/18
11/7/18,5/1/97,6010,11/7/18
11/7/18,6/1/97,5805,11/7/18
11/7/18,7/1/97,6027,11/7/18
11/7/18,8/1/97,6263,11/7/18
11/7/18,9/1/97,6094,11/7/18
11/7/18,10/1/97,6369,11/7/18
11/7/18,11/1/97,6781,11/7/18
11/7/18,12/1/97,7554,11/7/18
11/7/18,1/1/98,5822,11/7/18
11/7/18,2/1/98,5581,11/7/18
11/7/18,3/1/98,6162,11/7/18
11/7/18,4/1/98,6038,11/7/18
11/7/18,5/1/98,6225,11/7/18
11/7/18,6/1/98,6310,11/7/18
11/7/18,7/1/98,6466,11/7/18
11/7/18,8/1/98,6502,11/7/18
11/7/18,9/1/98,6329,11/7/18
11/7/18,10/1/98,6693,11/7/18
11/7/18,11/1/98,7186,11/7/18
11/7/18,12/1/98,8098,11/7/18
11/7/18,1/1/99,5922,11/7/18
11/7/18,2/1/99,5996,11/7/18
11/7/18,3/1/99,6790,11/7/18
11/7/18,4/1/99,6481,11/7/18
11/7/18,5/1/99,6684,11/7/18
11/7/18,6/1/99,6853,11/7/18
11/7/18,7/1/99,6961,11/7/18
11/7/18,8/1/99,7240,11/7/18
11/7/18,9/1/99,7139,11/7/18
11/7/18,10/1/99,7339,11/7/18
11/7/18,11/1/99,8006,11/7/18
11/7/18,12/1/99,8883,11/7/18
11/7/18,1/1/00,6638,11/7/18
11/7/18,2/1/00,6989,11/7/18
11/7/18,3/1/00,7622,11/7/18
11/7/18,4/1/00,7134,11/7/18
11/7/18,5/1/00,7635,11/7/18
11/7/18,6/1/00,7487,11/7/18
11/7/18,7/1/00,7508,11/7/18
11/7/18,8/1/00,7974,11/7/18
11/7/18,9/1/00,7535,11/7/18
11/7/18,10/1/00,7667,11/7/18
11/7/18,11/1/00,8346,11/7/18
11/7/18,12/1/00,8635,11/7/18
11/7/18,1/1/01,7050,11/7/18
11/7/18,2/1/01,6797,11/7/18
11/7/18,3/1/01,7572,11/7/18
11/7/18,4/1/01,6940,11/7/18
11/7/18,5/1/01,7551,11/7/18
11/7/18,6/1/01,7491,11/7/18
11/7/18,7/1/01,7456,11/7/18
11/7/18,8/1/01,7971,11/7/18
11/7/18,9/1/01,7078,11/7/18
11/7/18,10/1/01,7603,11/7/18
11/7/18,11/1/01,8548,11/7/18
11/7/18,12/1/01,9427,11/7/18
11/7/18,1/1/02,7149,11/7/18
11/7/18,2/1/02,7091,11/7/18
11/7/18,3/1/02,7777,11/7/18
11/7/18,4/1/02,7370,11/7/18
11/7/18,5/1/02,7991,11/7/18
11/7/18,6/1/02,7502,11/7/18
11/7/18,7/1/02,7671,11/7/18
11/7/18,8/1/02,8205,11/7/18
11/7/18,9/1/02,7456,11/7/18
11/7/18,10/1/02,7859,11/7/18
11/7/18,11/1/02,8839,11/7/18
11/7/18,12/1/02,9528,11/7/18
11/7/18,1/1/03,7190,11/7/18
11/7/18,2/1/03,6713,11/7/18
11/7/18,3/1/03,7618,11/7/18
11/7/18,4/1/03,7374,11/7/18
11/7/18,5/1/03,8078,11/7/18
11/7/18,6/1/03,7753,11/7/18
11/7/18,7/1/03,8074,11/7/18
11/7/18,8/1/03,8384,11/7/18
11/7/18,9/1/03,8017,11/7/18
11/7/18,10/1/03,8351,11/7/18
11/7/18,11/1/03,9018,11/7/18
11/7/18,12/1/03,10166,11/7/18
11/7/18,1/1/04,7651,11/7/18
11/7/18,2/1/04,7613,11/7/18
11/7/18,3/1/04,8499,11/7/18
11/7/18,4/1/04,7991,11/7/18
11/7/18,5/1/04,8112,11/7/18
11/7/18,6/1/04,8443,11/7/18
11/7/18,7/1/04,8895,11/7/18
11/7/18,8/1/04,8883,11/7/18
11/7/18,9/1/04,8441,11/7/18
11/7/18,10/1/04,8718,11/7/18
11/7/18,11/1/04,9594,11/7/18
11/7/18,12/1/04,10917,11/7/18
11/7/18,1/1/05,7908,11/7/18
11/7/18,2/1/05,7973,11/7/18
11/7/18,3/1/05,8787,11/7/18
11/7/18,4/1/05,8418,11/7/18
11/7/18,5/1/05,8649,11/7/18
11/7/18,6/1/05,8966,11/7/18
11/7/18,7/1/05,8957,11/7/18
11/7/18,8/1/05,9607,11/7/18
11/7/18,9/1/05,9216,11/7/18
11/7/18,10/1/05,9110,11/7/18
11/7/18,11/1/05,10232,11/7/18
11/7/18,12/1/05,11297,11/7/18
11/7/18,1/1/06,8595,11/7/18
11/7/18,2/1/06,8457,11/7/18
11/7/18,3/1/06,9412,11/7/18
11/7/18,4/1/06,8556,11/7/18
11/7/18,5/1/06,9209,11/7/18
11/7/18,6/1/06,9447,11/7/18
11/7/18,7/1/06,9244,11/7/18
11/7/18,8/1/06,9940,11/7/18
11/7/18,9/1/06,9511,11/7/18
11/7/18,10/1/06,9178,11/7/18
11/7/18,11/1/06,10195,11/7/18
11/7/18,12/1/06,11051,11/7/18
11/7/18,1/1/07,8802,11/7/18
11/7/18,2/1/07,8423,11/7/18
11/7/18,3/1/07,9415,11/7/18
11/7/18,4/1/07,8553,11/7/18
11/7/18,5/1/07,9266,11/7/18
11/7/18,6/1/07,9171,11/7/18
11/7/18,7/1/07,9194,11/7/18
11/7/18,8/1/07,9867,11/7/18
11/7/18,9/1/07,8885,11/7/18
11/7/18,10/1/07,9069,11/7/18
11/7/18,11/1/07,10012,11/7/18
11/7/18,12/1/07,10487,11/7/18
11/7/18,1/1/08,8163,11/7/18
11/7/18,2/1/08,8104,11/7/18
11/7/18,3/1/08,8381,11/7/18
11/7/18,4/1/08,8029,11/7/18
11/7/18,5/1/08,8604,11/7/18
11/7/18,6/1/08,8117,11/7/18
11/7/18,7/1/08,8495,11/7/18
11/7/18,8/1/08,8456,11/7/18
11/7/18,9/1/08,7676,11/7/18
11/7/18,10/1/08,7712,11/7/18
11/7/18,11/1/08,8121,11/7/18
11/7/18,12/1/08,8862,11/7/18
11/7/18,1/1/09,6796,11/7/18
11/7/18,2/1/09,6593,11/7/18
11/7/18,3/1/09,6907,11/7/18
11/7/18,4/1/09,6608,11/7/18
11/7/18,5/1/09,6974,11/7/18
11/7/18,6/1/09,6922,11/7/18
11/7/18,7/1/09,7194,11/7/18
11/7/18,8/1/09,7159,11/7/18
11/7/18,9/1/09,6967,11/7/18
11/7/18,10/1/09,6853,11/7/18
11/7/18,11/1/09,7375,11/7/18
11/7/18,12/1/09,8401,11/7/18
11/7/18,1/1/10,6324,11/7/18
11/7/18,2/1/10,6468,11/7/18
11/7/18,3/1/10,7271,11/7/18
11/7/18,4/1/10,6729,11/7/18
11/7/18,5/1/10,6932,11/7/18
11/7/18,6/1/10,6902,11/7/18
11/7/18,7/1/10,7243,11/7/18
11/7/18,8/1/10,7330,11/7/18
11/7/18,9/1/10,7101,11/7/18
11/7/18,10/1/10,6793,11/7/18
11/7/18,11/1/10,7630,11/7/18
11/7/18,12/1/10,8482,11/7/18
11/7/18,1/1/11,6244,11/7/18
11/7/18,2/1/11,6488,11/7/18
11/7/18,3/1/11,7530,11/7/18
11/7/18,4/1/11,6896,11/7/18
11/7/18,5/1/11,7086,11/7/18
11/7/18,6/1/11,7039,11/7/18
11/7/18,7/1/11,7241,11/7/18
11/7/18,8/1/11,7685,11/7/18
11/7/18,9/1/11,7450,11/7/18
11/7/18,10/1/11,6967,11/7/18
11/7/18,11/1/11,7931,11/7/18
11/7/18,12/1/11,9029,11/7/18
11/7/18,1/1/12,6866,11/7/18
11/7/18,2/1/12,7169,11/7/18
11/7/18,3/1/12,7784,11/7/18
11/7/18,4/1/12,6872,11/7/18
11/7/18,5/1/12,7683,11/7/18
11/7/18,6/1/12,7378,11/7/18
11/7/18,7/1/12,7551,11/7/18
11/7/18,8/1/12,8064,11/7/18
11/7/18,9/1/12,7439,11/7/18
11/7/18,10/1/12,7260,11/7/18
11/7/18,11/1/12,8260,11/7/18
