realtime_start,obs_date,revenue,realtime_end
11/7/18,1/1/92,12803,11/7/18
11/7/18,2/1/92,12601,11/7/18
11/7/18,3/1/92,12639,11/7/18
11/7/18,4/1/92,12710,11/7/18
11/7/18,5/1/92,12870,11/7/18
11/7/18,6/1/92,12886,11/7/18
11/7/18,7/1/92,12966,11/7/18
11/7/18,8/1/92,13092,11/7/18
11/7/18,9/1/92,13246,11/7/18
11/7/18,10/1/92,13304,11/7/18
11/7/18,11/1/92,13358,11/7/18
11/7/18,12/1/92,13475,11/7/18
11/7/18,1/1/93,13398,11/7/18
11/7/18,2/1/93,13596,11/7/18
11/7/18,3/1/93,13487,11/7/18
11/7/18,4/1/93,13539,11/7/18
11/7/18,5/1/93,13521,11/7/18
11/7/18,6/1/93,13461,11/7/18
11/7/18,7/1/93,13502,11/7/18
11/7/18,8/1/93,13372,11/7/18
11/7/18,9/1/93,13416,11/7/18
11/7/18,10/1/93,13755,11/7/18
11/7/18,11/1/93,13754,11/7/18
11/7/18,12/1/93,13627,11/7/18
11/7/18,1/1/94,13656,11/7/18
11/7/18,2/1/94,13875,11/7/18
11/7/18,3/1/94,13911,11/7/18
11/7/18,4/1/94,13867,11/7/18
11/7/18,5/1/94,13773,11/7/18
11/7/18,6/1/94,14059,11/7/18
11/7/18,7/1/94,14322,11/7/18
11/7/18,8/1/94,14685,11/7/18
11/7/18,9/1/94,14649,11/7/18
11/7/18,10/1/94,14709,11/7/18
11/7/18,11/1/94,14878,11/7/18
11/7/18,12/1/94,14885,11/7/18
11/7/18,1/1/95,14915,11/7/18
11/7/18,2/1/95,14963,11/7/18
11/7/18,3/1/95,14921,11/7/18
11/7/18,4/1/95,15021,11/7/18
11/7/18,5/1/95,15215,11/7/18
11/7/18,6/1/95,15333,11/7/18
11/7/18,7/1/95,15249,11/7/18
11/7/18,8/1/95,15227,11/7/18
11/7/18,9/1/95,15194,11/7/18
11/7/18,10/1/95,15007,11/7/18
11/7/18,11/1/95,14981,11/7/18
11/7/18,12/1/95,15246,11/7/18
11/7/18,1/1/96,15479,11/7/18
11/7/18,2/1/96,15457,11/7/18
11/7/18,3/1/96,15951,11/7/18
11/7/18,4/1/96,16252,11/7/18
11/7/18,5/1/96,16488,11/7/18
11/7/18,6/1/96,16352,11/7/18
11/7/18,7/1/96,16075,11/7/18
11/7/18,8/1/96,16066,11/7/18
11/7/18,9/1/96,16088,11/7/18
11/7/18,10/1/96,16360,11/7/18
11/7/18,11/1/96,16602,11/7/18
11/7/18,12/1/96,16759,11/7/18
11/7/18,1/1/97,16938,11/7/18
11/7/18,2/1/97,16984,11/7/18
11/7/18,3/1/97,16969,11/7/18
11/7/18,4/1/97,16613,11/7/18
11/7/18,5/1/97,16367,11/7/18
11/7/18,6/1/97,16378,11/7/18
11/7/18,7/1/97,16396,11/7/18
11/7/18,8/1/97,16682,11/7/18
11/7/18,9/1/97,16757,11/7/18
11/7/18,10/1/97,16711,11/7/18
11/7/18,11/1/97,16638,11/7/18
11/7/18,12/1/97,16536,11/7/18
11/7/18,1/1/98,16225,11/7/18
11/7/18,2/1/98,16054,11/7/18
11/7/18,3/1/98,15703,11/7/18
11/7/18,4/1/98,15798,11/7/18
11/7/18,5/1/98,16057,11/7/18
11/7/18,6/1/98,15933,11/7/18
11/7/18,7/1/98,16087,11/7/18
11/7/18,8/1/98,15851,11/7/18
11/7/18,9/1/98,15812,11/7/18
11/7/18,10/1/98,15948,11/7/18
11/7/18,11/1/98,16014,11/7/18
11/7/18,12/1/98,16399,11/7/18
11/7/18,1/1/99,16394,11/7/18
11/7/18,2/1/99,16309,11/7/18
11/7/18,3/1/99,16529,11/7/18
11/7/18,4/1/99,17115,11/7/18
11/7/18,5/1/99,17186,11/7/18
11/7/18,6/1/99,17070,11/7/18
11/7/18,7/1/99,17704,11/7/18
11/7/18,8/1/99,18135,11/7/18
11/7/18,9/1/99,18339,11/7/18
11/7/18,10/1/99,18632,11/7/18
11/7/18,11/1/99,18992,11/7/18
11/7/18,12/1/99,20095,11/7/18
11/7/18,1/1/00,19358,11/7/18
11/7/18,2/1/00,20214,11/7/18
11/7/18,3/1/00,20819,11/7/18
11/7/18,4/1/00,19907,11/7/18
11/7/18,5/1/00,20242,11/7/18
11/7/18,6/1/00,20885,11/7/18
11/7/18,7/1/00,20905,11/7/18
11/7/18,8/1/00,20574,11/7/18
11/7/18,9/1/00,21327,11/7/18
11/7/18,10/1/00,21412,11/7/18
11/7/18,11/1/00,21906,11/7/18
11/7/18,12/1/00,22124,11/7/18
11/7/18,1/1/01,21931,11/7/18
11/7/18,2/1/01,21615,11/7/18
11/7/18,3/1/01,20652,11/7/18
11/7/18,4/1/01,21618,11/7/18
11/7/18,5/1/01,22628,11/7/18
11/7/18,6/1/01,21928,11/7/18
11/7/18,7/1/01,20686,11/7/18
11/7/18,8/1/01,20878,11/7/18
11/7/18,9/1/01,21336,11/7/18
11/7/18,10/1/01,20033,11/7/18
11/7/18,11/1/01,19245,11/7/18
11/7/18,12/1/01,18950,11/7/18
11/7/18,1/1/02,19130,11/7/18
11/7/18,2/1/02,19068,11/7/18
11/7/18,3/1/02,19813,11/7/18
11/7/18,4/1/02,20856,11/7/18
11/7/18,5/1/02,20930,11/7/18
11/7/18,6/1/02,20733,11/7/18
11/7/18,7/1/02,21438,11/7/18
11/7/18,8/1/02,21182,11/7/18
11/7/18,9/1/02,21272,11/7/18
11/7/18,10/1/02,21659,11/7/18
11/7/18,11/1/02,22009,11/7/18
11/7/18,12/1/02,22464,11/7/18
11/7/18,1/1/03,23073,11/7/18
11/7/18,2/1/03,23885,11/7/18
11/7/18,3/1/03,23968,11/7/18
11/7/18,4/1/03,22581,11/7/18
11/7/18,5/1/03,21810,11/7/18
11/7/18,6/1/03,21777,11/7/18
11/7/18,7/1/03,22196,11/7/18
11/7/18,8/1/03,23073,11/7/18
