realtime_start,obs_date,revenue,realtime_end
11/7/18,1/1/92,27835,11/7/18
11/7/18,2/1/92,27720,11/7/18
11/7/18,3/1/92,27848,11/7/18
11/7/18,4/1/92,27867,11/7/18
11/7/18,5/1/92,27987,11/7/18
11/7/18,6/1/92,28011,11/7/18
11/7/18,7/1/92,28183,11/7/18
11/7/18,8/1/92,28222,11/7/18
11/7/18,9/1/92,28122,11/7/18
11/7/18,10/1/92,28328,11/7/18
11/7/18,11/1/92,28184,11/7/18
11/7/18,12/1/92,28233,11/7/18
11/7/18,1/1/93,28220,11/7/18
11/7/18,2/1/93,28419,11/7/18
11/7/18,3/1/93,28307,11/7/18
11/7/18,4/1/93,28367,11/7/18
11/7/18,5/1/93,28386,11/7/18
11/7/18,6/1/93,28377,11/7/18
11/7/18,7/1/93,28554,11/7/18
11/7/18,8/1/93,28357,11/7/18
11/7/18,9/1/93,28478,11/7/18
11/7/18,10/1/93,28618,11/7/18
11/7/18,11/1/93,28625,11/7/18
11/7/18,12/1/93,28773,11/7/18
11/7/18,1/1/94,28722,11/7/18
11/7/18,2/1/94,28923,11/7/18
11/7/18,3/1/94,28914,11/7/18
11/7/18,4/1/94,29111,11/7/18
11/7/18,5/1/94,29025,11/7/18
11/7/18,6/1/94,29311,11/7/18
11/7/18,7/1/94,29149,11/7/18
11/7/18,8/1/94,29410,11/7/18
11/7/18,9/1/94,29545,11/7/18
11/7/18,10/1/94,29343,11/7/18
11/7/18,11/1/94,29520,11/7/18
11/7/18,12/1/94,29443,11/7/18
11/7/18,1/1/95,29791,11/7/18
11/7/18,2/1/95,29604,11/7/18
11/7/18,3/1/95,29619,11/7/18
11/7/18,4/1/95,29499,11/7/18
11/7/18,5/1/95,29763,11/7/18
11/7/18,6/1/95,29812,11/7/18
11/7/18,7/1/95,29675,11/7/18
11/7/18,8/1/95,29721,11/7/18
11/7/18,9/1/95,29735,11/7/18
11/7/18,10/1/95,29692,11/7/18
11/7/18,11/1/95,29858,11/7/18
11/7/18,12/1/95,29994,11/7/18
11/7/18,1/1/96,30105,11/7/18
11/7/18,2/1/96,29990,11/7/18
11/7/18,3/1/96,30125,11/7/18
11/7/18,4/1/96,30220,11/7/18
11/7/18,5/1/96,30245,11/7/18
11/7/18,6/1/96,30288,11/7/18
11/7/18,7/1/96,30493,11/7/18
11/7/18,8/1/96,30555,11/7/18
11/7/18,9/1/96,30565,11/7/18
11/7/18,10/1/96,30766,11/7/18
11/7/18,11/1/96,30768,11/7/18
11/7/18,12/1/96,30879,11/7/18
11/7/18,1/1/97,31030,11/7/18
11/7/18,2/1/97,30991,11/7/18
11/7/18,3/1/97,31109,11/7/18
11/7/18,4/1/97,31065,11/7/18
11/7/18,5/1/97,30987,11/7/18
11/7/18,6/1/97,30804,11/7/18
11/7/18,7/1/97,31022,11/7/18
11/7/18,8/1/97,31160,11/7/18
11/7/18,9/1/97,31171,11/7/18
11/7/18,10/1/97,31225,11/7/18
11/7/18,11/1/97,31125,11/7/18
11/7/18,12/1/97,31063,11/7/18
11/7/18,1/1/98,30989,11/7/18
11/7/18,2/1/98,30915,11/7/18
11/7/18,3/1/98,31123,11/7/18
11/7/18,4/1/98,31169,11/7/18
11/7/18,5/1/98,31358,11/7/18
11/7/18,6/1/98,31435,11/7/18
11/7/18,7/1/98,31673,11/7/18
11/7/18,8/1/98,31744,11/7/18
11/7/18,9/1/98,31702,11/7/18
11/7/18,10/1/98,31864,11/7/18
11/7/18,11/1/98,31920,11/7/18
11/7/18,12/1/98,32291,11/7/18
